Food,Also,Serving,g,Composition
Lemon rice,chitranna,1 bowl,200,"Rice cooked 150 g, peanuts 15 g, lemon juice 15 g, oil 7 g, mustard seeds 1 g, urad dal 4 g, chana dal 4 g, curry leaves 3 g, turmeric 1 g, salt 2 g"
Curd rice,thayir sadam,1 bowl,220,"Rice cooked 145 g, yogurt 70 g, milk 15 g, oil 4 g, mustard seeds 1 g, urad dal 2 g, curry leaves 2 g, ginger 2 g, salt 2 g"
Tamarind rice,"puliyodarai, pulihora",1 bowl,210,"Rice cooked 150 g, tamarind pulp 20 g, peanuts 15 g, sesame seeds 6 g, oil 8 g, jaggery 5 g, spices 4 g, curry leaves 2 g, salt 2 g"
Coconut rice,thengai sadam,1 bowl,200,"Rice cooked 150 g, fresh coconut 25 g, oil 6 g, mustard seeds 1 g, urad dal 3 g, chana dal 3 g, curry leaves 2 g, green chili 2 g, salt 2 g"
Ven pongal,khara pongal,1 bowl,240,"Rice 45 g, moong dal 20 g, ghee 10 g, black pepper 2 g, cumin 2 g, ginger 3 g, cashew 8 g, water 170 g, salt 2 g"
Bisibele bath,bisi bele bath,1 bowl,280,"Rice 40 g, toor dal 25 g, mixed vegetables 60 g, tamarind pulp 15 g, oil 7 g, ghee 5 g, spices 8 g, water 150 g, salt 2 g"
Khichdi,moong dal khichdi,1 bowl,250,"Rice 35 g, moong dal 25 g, carrot 15 g, peas 15 g, ghee 6 g, cumin 1 g, turmeric 1 g, water 170 g, salt 2 g"
Millet khichdi,bajra khichdi,1 bowl,250,"Pearl millet 40 g, moong dal 25 g, carrot 15 g, peas 15 g, ghee 6 g, cumin 1 g, water 170 g, salt 2 g"
Dal tadka,yellow dal tadka,1 katori,180,"Toor dal 45 g, onion 15 g, tomato 20 g, garlic 4 g, ghee 5 g, cumin 1 g, red chili 1 g, turmeric 1 g, coriander 2 g, water 130 g, salt 2 g"
Dal fry,dal fry,1 katori,180,"Toor dal 45 g, onion 20 g, tomato 25 g, oil 6 g, cumin 1 g, garlic 3 g, ginger 2 g, turmeric 1 g, coriander 2 g, water 125 g, salt 2 g"
Dal makhani,maa ki dal,1 katori,220,"Black gram whole 35 g, kidney beans 10 g, butter 8 g, cream 10 g, tomato 25 g, onion 15 g, ginger 3 g, garlic 3 g, spices 4 g, water 150 g, salt 2 g"
Rajma masala,rajma curry,1 katori,200,"Kidney beans 45 g, onion 25 g, tomato 30 g, oil 7 g, ginger 2 g, garlic 3 g, cumin 1 g, spices 4 g, water 120 g, salt 2 g"
Chole,"chana masala, chole masala",1 katori,200,"Chickpeas 50 g, onion 25 g, tomato 30 g, oil 7 g, ginger 2 g, garlic 3 g, spices 5 g, coriander 3 g, water 110 g, salt 2 g"
Kala chana curry,black chickpea curry,1 katori,190,"Black chickpeas 50 g, onion 20 g, tomato 25 g, oil 6 g, ginger 2 g, garlic 3 g, spices 4 g, coriander 2 g, water 110 g, salt 2 g"
Moong dal,yellow moong dal,1 katori,180,"Moong dal 45 g, tomato 20 g, onion 10 g, ghee 5 g, cumin 1 g, turmeric 1 g, coriander 2 g, water 135 g, salt 2 g"
Masoor dal,red lentil dal,1 katori,180,"Masoor dal 45 g, tomato 25 g, onion 15 g, oil 5 g, garlic 3 g, cumin 1 g, turmeric 1 g, coriander 2 g, water 135 g, salt 2 g"
Gujarati dal,tuvar ni dal,1 katori,190,"Toor dal 40 g, jaggery 6 g, peanuts 8 g, tomato 15 g, kokum 3 g, oil 4 g, cumin 1 g, mustard 1 g, curry leaves 2 g, ginger 2 g, water 145 g, salt 2 g"
Panchmel dal,panchratna dal,1 katori,190,"Toor dal 10 g, moong dal 10 g, masoor dal 10 g, chana dal 10 g, urad dal 8 g, onion 12 g, tomato 20 g, ghee 5 g, spices 4 g, water 120 g, salt 2 g"
Palak paneer,saag paneer,1 katori,150,"Spinach 120 g, paneer 40 g, groundnut oil 8 g, onion 20 g, garlic 3 g, cumin 1 g, ginger 2 g, salt 2 g"
Paneer butter masala,butter paneer,1 katori,180,"Paneer 70 g, tomato 50 g, onion 20 g, butter 8 g, cream 10 g, cashew 8 g, ginger 2 g, garlic 3 g, spices 4 g, salt 2 g"
Kadai paneer,karahi paneer,1 katori,190,"Paneer 70 g, capsicum 30 g, onion 25 g, tomato 45 g, oil 8 g, ginger 2 g, garlic 3 g, kadai spices 5 g, coriander 3 g, salt 2 g"
Shahi paneer,shahi paneer curry,1 katori,190,"Paneer 70 g, onion 25 g, tomato 20 g, cream 15 g, cashew 10 g, butter 6 g, spices 4 g, milk 20 g, salt 2 g"
Matar paneer,green peas paneer,1 katori,190,"Paneer 60 g, green peas 35 g, tomato 35 g, onion 25 g, oil 7 g, cream 8 g, ginger 2 g, garlic 3 g, spices 4 g, salt 2 g"
Chana masala,Punjabi chole,1 katori,200,"Chickpeas 50 g, onion 25 g, tomato 30 g, oil 7 g, ginger 2 g, garlic 3 g, chana spices 5 g, coriander 3 g, water 110 g, salt 2 g"
Aloo gobi,aloo gobi,1 katori,170,"Potato 60 g, cauliflower 75 g, onion 15 g, tomato 15 g, oil 7 g, ginger 2 g, spices 4 g, coriander 2 g, salt 2 g"
Aloo matar,aloo matar,1 katori,180,"Potato 70 g, green peas 40 g, onion 20 g, tomato 25 g, oil 7 g, ginger 2 g, spices 4 g, coriander 2 g, salt 2 g"
Jeera aloo,aloo jeera,1 katori,150,"Potato 100 g, oil 6 g, cumin 2 g, green chili 2 g, coriander 2 g, lemon juice 5 g, salt 2 g"
Bhindi masala,okra masala,1 katori,160,"Okra 110 g, onion 25 g, tomato 15 g, oil 7 g, spices 4 g, coriander 2 g, salt 2 g"
Baingan bharta,smoky eggplant mash,1 katori,170,"Eggplant 130 g, onion 25 g, tomato 20 g, oil 6 g, garlic 3 g, green chili 2 g, coriander 2 g, salt 2 g"
Methi matar malai,methi matar curry,1 katori,190,"Fenugreek leaves 50 g, green peas 40 g, cream 30 g, onion 20 g, cashew 10 g, oil 5 g, spices 4 g, milk 25 g, salt 2 g"
Malai kofta,paneer kofta curry,1 katori,220,"Paneer 55 g, potato 35 g, cornflour 8 g, tomato 35 g, onion 20 g, cream 15 g, cashew 8 g, oil 12 g, spices 4 g, salt 2 g"
Navratan korma,vegetable korma,1 katori,200,"Mixed vegetables 80 g, paneer 25 g, peas 20 g, cashew 10 g, cream 15 g, yogurt 15 g, onion 20 g, oil 7 g, spices 4 g, salt 2 g"
Mix veg curry,mixed vegetable sabzi,1 katori,180,"Carrot 25 g, beans 25 g, peas 25 g, cauliflower 30 g, potato 35 g, onion 15 g, tomato 15 g, oil 6 g, spices 4 g, salt 2 g"
Kadhi pakora,Punjabi kadhi pakora,1 bowl,250,"Yogurt 100 g, gram flour 20 g, onion 30 g, gram flour batter 15 g, oil 12 g, curry leaves 2 g, cumin 1 g, turmeric 1 g, water 100 g, salt 2 g"
Amritsari chole,amritsari chana,1 katori,210,"Chickpeas 50 g, onion 25 g, tomato 35 g, tea infusion 20 g, oil 8 g, ginger 2 g, garlic 3 g, spices 5 g, coriander 3 g, water 110 g, salt 2 g"
Undhiyu,surti undhiyu,1 katori,220,"Purple yam 25 g, potato 25 g, raw banana 25 g, eggplant 25 g, green beans 20 g, peas 20 g, tuvar lilva 20 g, fenugreek dumpling 25 g, coconut 8 g, peanuts 8 g, oil 10 g, spices 5 g, salt 2 g"
Sev tameta,sev tameta nu shaak,1 katori,180,"Tomato 90 g, sev 35 g, onion 20 g, oil 6 g, garlic 3 g, chili 2 g, coriander 2 g, spices 3 g, salt 2 g"
Ringan bateta,baingan bateta nu shaak,1 katori,180,"Eggplant 70 g, potato 70 g, onion 15 g, tomato 15 g, oil 6 g, peanut 8 g, sesame 4 g, spices 4 g, coriander 2 g, salt 2 g"
Bateta nu shaak,Gujarati potato sabzi,1 katori,160,"Potato 110 g, tomato 20 g, oil 6 g, cumin 1 g, mustard 1 g, sesame 3 g, coriander 2 g, turmeric 1 g, salt 2 g"
Turiya patra,ridge gourd patra,1 katori,170,"Ridge gourd 90 g, colocasia leaf 20 g, gram flour 18 g, peanuts 8 g, sesame 4 g, coconut 5 g, jaggery 3 g, oil 6 g, spices 4 g, salt 2 g"
Doodhi chana dal,lauki chana dal,1 katori,190,"Bottle gourd 90 g, chana dal 25 g, tomato 15 g, oil 5 g, cumin 1 g, garlic 2 g, coriander 2 g, water 95 g, salt 2 g"
Tuvar lilva shaak,green pigeon pea curry,1 katori,190,"Fresh pigeon peas 90 g, potato 40 g, coconut 8 g, sesame 4 g, oil 6 g, cumin 1 g, spices 4 g, coriander 2 g, salt 2 g"
Gujarati kadhi,Gujarati kadhi,1 bowl,230,"Yogurt 100 g, gram flour 15 g, jaggery 5 g, ginger 2 g, green chili 2 g, ghee 4 g, cumin 1 g, mustard 1 g, curry leaves 2 g, water 105 g, salt 2 g"
Dhokla,khaman dhokla,2 pieces,100,"Gram flour 45 g, semolina 10 g, yogurt 20 g, sugar 3 g, oil 4 g, lemon juice 3 g, ginger 2 g, green chili 2 g, eno 1 g, water 30 g, salt 2 g"
Khandvi,surali vadi,6 pieces,120,"Gram flour 28 g, yogurt 45 g, water 35 g, oil 3 g, coconut 4 g, coriander 3 g, mustard 1 g, sesame 1 g, salt 2 g"
Handvo,handvo,1 piece,150,"Rice 30 g, chana dal 15 g, toor dal 8 g, urad dal 5 g, bottle gourd 45 g, yogurt 20 g, oil 7 g, sesame 3 g, spices 3 g, salt 2 g"
Methi thepla,thepla,2 pieces,100,"Wheat flour 55 g, gram flour 12 g, methi leaves 20 g, yogurt 8 g, oil 6 g, sesame 2 g, spices 2 g, salt 2 g"
Patra,alu vadi,4 pieces,120,"Colocasia leaves 60 g, gram flour 20 g, tamarind pulp 5 g, jaggery 5 g, sesame 3 g, coconut 4 g, oil 6 g, spices 4 g, salt 2 g"
Fafda,fafda,1 plate,80,"Gram flour 55 g, oil 20 g, ajwain 1 g, salt 2 g, water 15 g"
Jalebi,jalebi,3 pieces,90,"Refined flour 35 g, yogurt 8 g, sugar 30 g, oil 15 g, water 20 g, saffron 1 g"
Basundi,basundi,1 bowl,150,"Full-fat milk 150 g, sugar 12 g, cardamom 1 g, pistachio 5 g, almond 5 g"
Idli,idly,2 pieces,120,"Idli rice 35 g, urad dal 12 g, fenugreek 1 g, water 80 g, salt 1 g"
Medu vada,ulundu vadai,2 pieces,100,"Urad dal 35 g, onion 10 g, curry leaves 2 g, green chili 2 g, ginger 2 g, oil 18 g, salt 2 g, water 30 g"
Plain dosa,sada dosa,1 dosa,110,"Rice 35 g, urad dal 12 g, fenugreek 1 g, oil 4 g, water 65 g, salt 1 g"
Masala dosa,masala dosa,1 dosa,180,"Rice 40 g, urad dal 12 g, potato 65 g, onion 15 g, oil 7 g, mustard 1 g, curry leaves 2 g, turmeric 1 g, salt 2 g"
Rava dosa,ravva dosa,1 dosa,120,"Semolina 30 g, rice flour 15 g, refined flour 8 g, onion 10 g, cumin 1 g, pepper 1 g, oil 6 g, water 55 g, salt 1 g"
Set dosa,set dose,3 pieces,180,"Rice 40 g, urad dal 12 g, poha 10 g, fenugreek 1 g, oil 5 g, water 100 g, salt 1 g"
Uttapam,uthappam,1 piece,140,"Dosa batter 90 g, onion 20 g, tomato 15 g, capsicum 10 g, coriander 3 g, oil 5 g, salt 1 g"
Pesarattu,green gram dosa,1 dosa,130,"Green gram 45 g, rice 10 g, ginger 2 g, green chili 2 g, onion 10 g, oil 5 g, water 55 g, salt 1 g"
Appam,palappam,2 pieces,120,"Rice 40 g, coconut milk 30 g, yeast 1 g, sugar 3 g, water 50 g, salt 1 g"
Neer dosa,neer dose,3 pieces,135,"Rice 45 g, coconut 5 g, water 80 g, salt 1 g"
Pesarattu upma,pesarattu with upma,1 plate,240,"Green gram 40 g, rice 8 g, semolina 30 g, onion 20 g, oil 7 g, ginger 2 g, green chili 2 g, coriander 3 g, water 130 g, salt 2 g"
Sambar,sambhar,1 bowl,220,"Toor dal 30 g, carrot 20 g, drumstick 20 g, pumpkin 20 g, onion 15 g, tomato 20 g, tamarind pulp 8 g, oil 4 g, sambar powder 4 g, water 110 g, salt 2 g"
Rasam,saaru,1 bowl,180,"Tomato 40 g, toor dal water 30 g, tamarind pulp 6 g, rasam powder 3 g, garlic 2 g, cumin 1 g, pepper 1 g, coriander 2 g, water 100 g, salt 2 g"
Vegetable upma,rava upma,1 bowl,200,"Semolina 45 g, onion 20 g, carrot 15 g, peas 15 g, oil 7 g, cashew 6 g, mustard 1 g, urad dal 3 g, curry leaves 2 g, water 120 g, salt 2 g"
Poha,aval upma,1 bowl,180,"Poha 55 g, onion 20 g, potato 20 g, peanuts 12 g, oil 6 g, mustard 1 g, curry leaves 2 g, turmeric 1 g, lemon juice 5 g, coriander 3 g, salt 2 g"
Pongal,ven pongal,1 bowl,240,"Rice 45 g, moong dal 20 g, ghee 10 g, cashew 8 g, black pepper 2 g, cumin 2 g, ginger 3 g, water 150 g, salt 2 g"
Avial,avial,1 katori,180,"Mixed vegetables 110 g, yogurt 30 g, coconut 15 g, cumin 1 g, green chili 2 g, coconut oil 4 g, curry leaves 2 g, salt 2 g"
Kootu,vegetable kootu,1 katori,180,"Bottle gourd 70 g, moong dal 20 g, coconut 10 g, cumin 1 g, black pepper 1 g, oil 4 g, curry leaves 2 g, water 65 g, salt 2 g"
Poriyal,vegetable poriyal,1 katori,130,"Beans 90 g, coconut 10 g, oil 5 g, mustard 1 g, urad dal 2 g, curry leaves 2 g, chili 2 g, salt 2 g"
Medu vada sambar,vada sambar,1 plate,220,"Urad dal 35 g, onion 8 g, oil 12 g, sambar 100 g, curry leaves 2 g, green chili 2 g, salt 2 g"
Paniyaram,kuzhi paniyaram,6 pieces,150,"Idli dosa batter 90 g, onion 15 g, carrot 10 g, coriander 3 g, oil 7 g, mustard 1 g, curry leaves 2 g, salt 2 g"
Misal pav,misal,1 plate,300,"Sprouted moth beans 70 g, potato 30 g, onion 25 g, tomato 20 g, farsan 30 g, oil 10 g, spices 6 g, coriander 3 g, lemon 10 g, pav 1 piece 60 g"
Vada pav,batata vada pav,1 piece,170,"Potato 70 g, gram flour 25 g, pav 60 g, oil 12 g, garlic chutney 5 g, chili 2 g, coriander 2 g, salt 2 g"
Pav bhaji,pav bhaji,1 plate,300,"Potato 60 g, cauliflower 30 g, peas 25 g, capsicum 20 g, tomato 50 g, onion 25 g, butter 10 g, pav 90 g, bhaji masala 5 g, coriander 3 g, salt 2 g"
Sabudana khichdi,sabudana khichadi,1 bowl,220,"Sabudana 60 g, potato 35 g, peanuts 18 g, ghee 6 g, cumin 1 g, green chili 2 g, lemon juice 5 g, coriander 2 g, salt 2 g"
Pithla bhakri,pithla,1 plate,220,"Gram flour 35 g, onion 20 g, garlic 3 g, oil 6 g, cumin 1 g, chili 2 g, water 120 g, jowar bhakri 60 g, salt 2 g"
Thalipeeth,multigrain thalipeeth,1 piece,120,"Jowar flour 20 g, bajra flour 15 g, gram flour 15 g, wheat flour 10 g, onion 15 g, coriander 3 g, sesame 2 g, oil 7 g, water 35 g, salt 2 g"
Poha Maharashtra,kanda poha,1 bowl,180,"Poha 55 g, onion 25 g, potato 20 g, peanuts 12 g, oil 6 g, mustard 1 g, turmeric 1 g, curry leaves 2 g, lemon 5 g, coriander 3 g, salt 2 g"
Kothimbir vadi,dhaniya vadi,4 pieces,130,"Gram flour 35 g, coriander 35 g, sesame 3 g, yogurt 10 g, oil 8 g, chili 2 g, spices 2 g, salt 2 g, water 30 g"
Bharli vangi,stuffed brinjal,1 katori,180,"Small eggplant 110 g, peanuts 12 g, coconut 8 g, sesame 4 g, onion 15 g, jaggery 4 g, oil 7 g, spices 4 g, salt 2 g"
Matki usal,moth bean usal,1 katori,180,"Moth beans 50 g, onion 20 g, tomato 25 g, coconut 5 g, oil 6 g, mustard 1 g, spices 4 g, coriander 3 g, water 80 g, salt 2 g"
Aloo posto,posto aloo,1 katori,170,"Potato 110 g, poppy seeds 10 g, green chili 2 g, mustard oil 6 g, nigella seeds 1 g, salt 2 g, water 40 g"
Shukto,bengali mixed vegetable shukto,1 katori,180,"Bitter gourd 25 g, potato 30 g, raw banana 25 g, eggplant 25 g, drumstick 20 g, poppy seed paste 8 g, mustard oil 6 g, milk 10 g, spices 2 g, salt 2 g"
Cholar dal,Bengali chana dal,1 katori,180,"Chana dal 40 g, coconut 8 g, ginger 2 g, bay leaf 1 g, cumin 1 g, ghee 4 g, raisins 5 g, water 120 g, salt 2 g"
Luchi,luchi,3 pieces,100,"Refined flour 55 g, oil 20 g, water 25 g, salt 1 g"
Begun bhaja,baingan bhaja,3 slices,110,"Eggplant 90 g, rice flour 6 g, mustard oil 10 g, turmeric 1 g, salt 2 g"
Aloo dum Bengali,niramish alur dum,1 katori,170,"Potato 110 g, tomato 20 g, yogurt 15 g, oil 7 g, ginger 2 g, cumin 1 g, spices 4 g, coriander 2 g, salt 2 g"
Macher jhol,Bengali fish curry,1 katori,220,"Rohu fish 100 g, potato 35 g, tomato 20 g, mustard oil 8 g, turmeric 1 g, cumin 1 g, ginger 2 g, water 55 g, coriander 2 g, salt 2 g"
Egg curry Bengali,dim er jhol,1 katori,220,"Egg 2 pieces, potato 40 g, onion 25 g, tomato 25 g, mustard oil 8 g, ginger 2 g, garlic 2 g, spices 4 g, water 70 g, salt 2 g"
Dal baati churma,dal bati,1 plate,300,"Wheat flour 80 g, ghee 20 g, mixed dal 40 g, onion 15 g, tomato 15 g, gram flour 10 g, sugar 10 g, nuts 8 g, spices 5 g, water 90 g, salt 3 g"
Gatte ki sabzi,gatta curry,1 katori,190,"Gram flour 45 g, yogurt 45 g, onion 15 g, tomato 20 g, oil 7 g, spices 5 g, ginger 2 g, coriander 2 g, water 50 g, salt 2 g"
Ker sangri,ker sangri sabzi,1 katori,150,"Ker 35 g, sangri 45 g, yogurt 20 g, oil 7 g, spices 4 g, cumin 1 g, coriander 2 g, water 35 g, salt 2 g"
Bajra khichdi,bajra raab style khichdi,1 bowl,240,"Pearl millet 45 g, moong dal 20 g, ghee 6 g, cumin 1 g, ginger 2 g, water 165 g, salt 2 g"
Pyaz ki kachori,onion kachori,1 piece,100,"Refined flour 45 g, onion 30 g, gram flour 8 g, oil 15 g, fennel 1 g, chili 2 g, spices 3 g, salt 1 g"
Dal kachori,dal ki kachori,1 piece,100,"Refined flour 45 g, moong dal 15 g, oil 18 g, fennel 1 g, chili 2 g, spices 3 g, salt 1 g"
Makhaniya lassi,sweet lassi,1 glass,250,"Yogurt 180 g, sugar 20 g, cream 12 g, milk 35 g, cardamom 1 g, saffron 1 g"
Butter chicken,murgh makhani,1 katori,220,"Chicken 100 g, yogurt 20 g, tomato 55 g, butter 10 g, cream 15 g, onion 15 g, cashew 8 g, ginger 2 g, garlic 3 g, spices 5 g, salt 2 g"
Chicken tikka,murgh tikka,6 pieces,180,"Chicken 140 g, yogurt 20 g, oil 6 g, lemon juice 5 g, ginger 2 g, garlic 3 g, spices 4 g, salt 2 g"
Tandoori chicken,tandoori murgh,1 leg quarter,250,"Chicken 180 g, yogurt 25 g, oil 8 g, lemon juice 5 g, ginger 2 g, garlic 3 g, spices 5 g, salt 2 g"
Chicken curry,Indian chicken curry,1 katori,220,"Chicken 100 g, onion 35 g, tomato 35 g, oil 8 g, ginger 2 g, garlic 3 g, yogurt 10 g, spices 5 g, coriander 2 g, water 70 g, salt 2 g"
Kadai chicken,karahi chicken,1 katori,230,"Chicken 100 g, capsicum 30 g, onion 30 g, tomato 35 g, oil 8 g, ginger 2 g, garlic 3 g, kadai spices 5 g, coriander 2 g, water 65 g, salt 2 g"
Chicken chettinad,chettinad kozhi,1 katori,230,"Chicken 100 g, onion 30 g, tomato 20 g, coconut 15 g, oil 8 g, fennel 2 g, pepper 2 g, curry leaves 3 g, spices 5 g, water 55 g, salt 2 g"
Mutton rogan josh,rogan josh,1 katori,230,"Mutton 100 g, yogurt 20 g, onion 20 g, oil 10 g, ginger 2 g, garlic 2 g, Kashmiri chili 2 g, spices 5 g, water 65 g, salt 2 g"
Mutton curry,mutton masala,1 katori,230,"Mutton 100 g, onion 30 g, tomato 25 g, oil 10 g, ginger 2 g, garlic 3 g, yogurt 15 g, spices 5 g, coriander 2 g, water 65 g, salt 2 g"
Mutton keema,keema matar,1 katori,220,"Mutton mince 100 g, green peas 30 g, onion 25 g, tomato 25 g, oil 8 g, ginger 2 g, garlic 3 g, spices 5 g, coriander 2 g, water 55 g, salt 2 g"
Fish curry,Indian fish curry,1 katori,220,"Fish 110 g, onion 20 g, tomato 25 g, coconut milk 35 g, oil 7 g, curry leaves 3 g, tamarind pulp 8 g, spices 4 g, water 55 g, salt 2 g"
Bengali fish fry,mach bhaja,1 piece,140,"Rohu fish 110 g, rice flour 8 g, mustard oil 10 g, turmeric 1 g, lemon juice 3 g, salt 2 g"
Goan fish curry,Goan coconut fish curry,1 katori,220,"Fish 100 g, coconut milk 40 g, onion 20 g, tomato 20 g, tamarind 8 g, oil 6 g, chili 3 g, spices 4 g, water 55 g, salt 2 g"
Prawn curry,prawn masala,1 katori,210,"Prawns 100 g, onion 25 g, tomato 25 g, coconut milk 35 g, oil 7 g, garlic 3 g, curry leaves 3 g, spices 4 g, water 55 g, salt 2 g"
Egg bhurji,anda bhurji,1 katori,160,"Egg 2 pieces, onion 25 g, tomato 20 g, capsicum 15 g, oil 6 g, coriander 3 g, chili 2 g, spices 2 g, salt 2 g"
Egg omelette,masala omelette,1 omelette,140,"Egg 2 pieces, onion 20 g, tomato 15 g, green chili 2 g, coriander 3 g, oil 5 g, salt 2 g"
Chicken korma,murgh korma,1 katori,230,"Chicken 100 g, yogurt 25 g, onion 25 g, cashew 10 g, cream 15 g, oil 8 g, spices 4 g, ginger 2 g, garlic 2 g, water 60 g, salt 2 g"
Samosa,aloo samosa,2 pieces,120,"Refined flour 35 g, potato 45 g, peas 10 g, oil 20 g, spices 4 g, coriander 2 g, water 18 g, salt 2 g"
Aloo tikki,potato tikki,2 pieces,130,"Potato 90 g, peas 15 g, bread crumbs 10 g, oil 10 g, spices 3 g, coriander 2 g, salt 2 g"
Dahi puri,dahi puri,6 pieces,180,"Puri 45 g, potato cooked 35 g, yogurt 45 g, chutneys 20 g, sev 15 g, onion 8 g, coriander 3 g, spices 2 g, salt 2 g"
Bhel puri,bhel,1 plate,180,"Puffed rice 50 g, potato cooked 25 g, onion 15 g, tomato 15 g, sev 20 g, peanuts 10 g, chutneys 25 g, coriander 3 g, lemon 5 g, salt 2 g"
Sev puri,sev puri,6 puris,180,"Puri 45 g, potato cooked 30 g, onion 10 g, chutneys 25 g, sev 25 g, coriander 3 g, spices 2 g, salt 2 g"
Pani puri,"golgappa, puchka",6 pieces,150,"Puri 42 g, potato cooked 30 g, chickpeas cooked 20 g, spiced water 45 g, tamarind chutney 8 g, mint chutney 5 g, onion 5 g, sev 3 g, salt 2 g"
Pakora,"bhajiya, pakoda",6 pieces,130,"Gram flour 45 g, onion 35 g, potato 25 g, spinach 15 g, oil 15 g, chili 2 g, spices 2 g, salt 2 g"
Paneer pakora,paneer pakoda,4 pieces,140,"Paneer 55 g, gram flour 30 g, oil 18 g, chili 2 g, spices 3 g, water 28 g, salt 2 g"
Bread pakora,bread bhaji,2 pieces,150,"Bread 50 g, potato 45 g, gram flour 25 g, oil 18 g, spices 4 g, chutney 8 g, salt 2 g"
Kachori,moong dal kachori,2 pieces,130,"Refined flour 45 g, moong dal 18 g, oil 22 g, spices 4 g, fennel 1 g, water 20 g, salt 2 g"
Dabeli,kutchi dabeli,1 piece,180,"Pav 70 g, potato 45 g, peanuts 15 g, pomegranate 10 g, sev 12 g, chutneys 18 g, onion 8 g, dabeli masala 3 g, butter 3 g, salt 1 g"
Frankie veg,veg frankie,1 roll,220,"Refined flour roti 65 g, potato 45 g, cabbage 20 g, onion 15 g, capsicum 15 g, oil 7 g, sauces 20 g, spices 4 g, salt 2 g"
