Food,Also,Serving,g,Composition
Foxtail millet pulao,kangni pulao,1 bowl,230,"Foxtail Millet 60 g, Carrot 20 g, Peas Cooked 18 g, Green Beans 15 g, Onion 22 g, Oil 6 g, Cumin 1 g, Water 150 g, Salt 2 g"
Little millet upma,samai upma,1 bowl,220,"Little Millet 60 g, Onion 20 g, Carrot 20 g, Peas Cooked 18 g, Oil 6 g, Mustard Seeds 1 g, Water 155 g, Salt 2 g"
Barnyard millet khichdi,sama millet khichdi,1 bowl,230,"Barnyard Millet 55 g, Moong Dal 25 g, Carrot 20 g, Peas Cooked 18 g, Ghee 5 g, Cumin 1 g, Water 175 g, Salt 2 g"
Quinoa pulao,vegetable quinoa pulao,1 bowl,230,"Quinoa 60 g, Water 145 g, Onion 20 g, Carrot 20 g, Peas Cooked 18 g, Oil 5 g, Cumin 1 g, Green Beans 15 g, Salt 2 g"
Quinoa khichdi,quinoa dal khichdi,1 bowl,240,"Quinoa 60 g, Water 145 g, Onion 20 g, Carrot 20 g, Peas Cooked 18 g, Oil 5 g, Cumin 1 g, Moong Dal 25 g, Turmeric 1 g, Salt 2 g"
Quinoa upma,quinoa vegetable upma,1 bowl,230,"Quinoa 60 g, Water 145 g, Onion 20 g, Carrot 20 g, Peas Cooked 18 g, Oil 5 g, Cumin 1 g, Mustard Seeds 1 g, Curry Leaves 2 g, Salt 2 g"
Quinoa salad,vegetable quinoa salad,1 bowl,200,"Quinoa Cooked 95 g, Cucumber 30 g, Tomato 30 g, Bell Pepper 25 g, Chickpeas Cooked 30 g, Olive Oil 6 g, Lemon Juice 8 g, Salt 1 g"
Quinoa curd rice,quinoa yogurt bowl,1 bowl,220,"Quinoa Cooked 110 g, Yogurt 90 g, Cucumber 20 g, Mustard Seeds 1 g, Curry Leaves 2 g, Oil 4 g, Salt 2 g"
Brown rice khichdi,brown rice dal khichdi,1 bowl,240,"Brown Rice 55 g, Moong Dal 28 g, Carrot 20 g, Peas Cooked 18 g, Ghee 5 g, Cumin 1 g, Turmeric 1 g, Water 185 g, Salt 2 g"
Brown rice pulao,vegetable brown rice pulao,1 bowl,230,"Brown Rice 60 g, Carrot 20 g, Peas Cooked 18 g, Green Beans 15 g, Onion 22 g, Oil 6 g, Cumin 1 g, Water 165 g, Salt 2 g"
Paneer salad,paneer vegetable salad,1 bowl,180,"Paneer 90 g, Cucumber 25 g, Tomato 25 g, Lettuce 20 g, Lemon Juice 7 g, Olive Oil 5 g, Black Pepper 1 g, Salt 1 g"
Chickpea salad,chana salad,1 bowl,200,"Chickpeas Cooked 105 g, Cucumber 25 g, Tomato 25 g, Lettuce 20 g, Lemon Juice 7 g, Olive Oil 5 g, Black Pepper 1 g, Salt 1 g"
Kidney bean salad,rajma salad,1 bowl,200,"Kidney Beans Cooked 105 g, Cucumber 25 g, Tomato 25 g, Lettuce 20 g, Lemon Juice 7 g, Olive Oil 5 g, Black Pepper 1 g, Salt 1 g"
Sprouts salad,moong sprouts salad,1 bowl,195,"Moong Sprouts 100 g, Cucumber 25 g, Tomato 25 g, Lettuce 20 g, Lemon Juice 7 g, Olive Oil 5 g, Black Pepper 1 g, Salt 1 g"
Grilled paneer salad,grilled cottage cheese salad,1 bowl,210,"Paneer 90 g, Bell Pepper 25 g, Onion 20 g, Oil 4 g, Cucumber 25 g, Tomato 25 g, Lettuce 20 g, Lemon Juice 7 g, Olive Oil 5 g, Black Pepper 1 g, Salt 1 g"
Egg salad,boiled egg salad,1 bowl,190,"Egg Boiled 100 g, Cucumber 25 g, Tomato 25 g, Lettuce 20 g, Lemon Juice 7 g, Olive Oil 5 g, Black Pepper 1 g, Salt 1 g"
Millet salad,foxtail millet salad,1 bowl,220,"Foxtail Millet Cooked 95 g, Chickpeas Cooked 35 g, Cucumber 25 g, Tomato 25 g, Lettuce 20 g, Lemon Juice 7 g, Olive Oil 5 g, Black Pepper 1 g, Salt 1 g"
Fruit yogurt bowl,fruit curd bowl,1 bowl,220,"Yogurt 120 g, Banana 35 g, Apple 35 g, Papaya 30 g, Pomegranate 20 g, Honey 8 g"
Yogurt granola bowl,granola curd bowl,1 bowl,220,"Yogurt 120 g, Granola 45 g, Banana 35 g, Mixed Berries 20 g, Honey 8 g"
Smoothie bowl,fruit smoothie bowl,1 bowl,250,"Banana 80 g, Yogurt 90 g, Full-Fat Milk 50 g, Mixed Berries 35 g, Rolled Oats 20 g, Chia Seeds 8 g, Honey 8 g"
Banana smoothie,banana shake without ice cream,1 glass,300,"Banana 85 g, Full-Fat Milk 190 g, Yogurt 35 g, Honey 8 g"
Mango smoothie,mango yogurt smoothie,1 glass,300,"Mango 90 g, Full-Fat Milk 190 g, Yogurt 35 g, Honey 6 g"
Mixed berry smoothie,berry yogurt smoothie,1 glass,330,"Mixed Berries 85 g, Full-Fat Milk 190 g, Yogurt 35 g, Banana 35 g, Honey 6 g"
Dates banana smoothie,banana date shake,1 glass,310,"Banana 70 g, Dates 25 g, Full-Fat Milk 190 g, Yogurt 35 g"
Peanut butter smoothie,peanut banana smoothie,1 glass,325,"Banana 60 g, Full-Fat Milk 190 g, Yogurt 35 g, Peanut Butter 25 g, Rolled Oats 15 g"
Spinach banana smoothie,green banana smoothie,1 glass,310,"Banana 70 g, Spinach 35 g, Full-Fat Milk 190 g, Yogurt 35 g, Honey 6 g"
Protein lassi,high-protein yogurt lassi,1 glass,370,"Yogurt 190 g, Full-Fat Milk 70 g, Whey Protein 25 g, Banana 45 g, Honey 8 g, Water 35 g"
Sattu banana shake,banana sattu drink,1 glass,300,"Sattu 35 g, Banana 70 g, Full-Fat Milk 190 g, Jaggery 10 g, Cardamom 1 g"
Dry fruit milkshake,mixed nut shake,1 glass,300,"Full-Fat Milk 230 g, Almonds 12 g, Cashews 12 g, Dates 18 g, Raisins 10 g, Sugar 8 g, Cardamom 1 g"
Chocolate milkshake,chocolate shake,1 glass,300,"Full-Fat Milk 230 g, Vanilla Ice Cream 45 g, Cocoa Powder 8 g, Chocolate Syrup 18 g, Sugar 5 g"
Vanilla milkshake,vanilla shake,1 glass,300,"Full-Fat Milk 230 g, Vanilla Ice Cream 55 g, Sugar 8 g, Vanilla 1 g"
Strawberry milkshake,strawberry shake,1 glass,300,"Full-Fat Milk 220 g, Strawberry 70 g, Vanilla Ice Cream 35 g, Sugar 10 g"
Cold coffee,iced coffee,1 glass,320,"Full-Fat Milk 230 g, Water 25 g, Coffee Powder 4 g, Sugar 18 g, Ice 45 g"
Cold coffee with ice cream,coffee milkshake,1 glass,350,"Full-Fat Milk 220 g, Vanilla Ice Cream 70 g, Coffee Powder 4 g, Sugar 15 g, Ice 45 g"
Lemon iced tea,iced lemon tea,1 glass,290,"Water 220 g, Tea Leaves 2 g, Lemon Juice 15 g, Sugar 15 g, Ice 45 g"
Peach iced tea,iced peach tea,1 glass,300,"Water 215 g, Tea Leaves 2 g, Peach Puree 25 g, Sugar 15 g, Ice 45 g"
Green tea,plain green tea,1 cup,200,"Water 200 g, Green Tea Leaves 2 g"
Herbal tea,herbal infusion,1 cup,200,"Water 200 g, Tulsi Leaves 4 g, Lemongrass 3 g, Ginger 3 g"
Ginger lemon tea,lemon ginger tea,1 cup,210,"Water 200 g, Tea Leaves 2 g, Ginger 5 g, Lemon Juice 10 g, Honey 8 g"
Tender coconut smoothie,coconut water smoothie,1 glass,280,"Coconut Water 200 g, Tender Coconut Flesh 55 g, Banana 35 g, Lime Juice 5 g"
Avocado smoothie,avocado milkshake,1 glass,300,"Avocado 85 g, Full-Fat Milk 210 g, Yogurt 30 g, Honey 10 g"
Chia seed pudding,chia milk pudding,1 cup,180,"Chia Seeds 28 g, Full-Fat Milk 135 g, Yogurt 25 g, Honey 10 g, Vanilla 1 g"
Fruit chia pudding,fruit chia cup,1 cup,220,"Chia Seeds 28 g, Full-Fat Milk 125 g, Yogurt 25 g, Mango 35 g, Banana 30 g, Pomegranate 15 g, Honey 8 g"
