Food,Also,Serving,g,Composition
Jeera rice,cumin rice,1 bowl,190,"Rice 60 g, Cumin 1 g, Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 120 g, Salt 2 g"
Ghee rice,neychoru,1 bowl,190,"Rice 60 g, Ghee 7 g, Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 120 g, Salt 2 g"
Lemon rice,chitranna,1 bowl,190,"Rice 60 g, Lemon Juice 12 g, Peanuts 18 g, Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 120 g, Salt 2 g"
Coconut rice,thengai sadam,1 bowl,190,"Rice 60 g, Coconut 35 g, Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 120 g, Salt 2 g"
Tomato rice,thakkali sadam,1 bowl,190,"Rice 60 g, Tomato 35 g, Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 120 g, Salt 2 g"
Curd rice,"daddojanam, thayir sadam",1 bowl,190,"Rice 60 g, Yogurt 55 g, Pomegranate 20 g, Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 120 g, Salt 2 g"
Tamarind rice,"puliyodarai, pulihora",1 bowl,190,"Rice 60 g, Tamarind 12 g, Peanuts 18 g, Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 120 g, Salt 2 g"
Vegetable pulao,veg pulao,1 bowl,220,"Basmati Rice 65 g, Carrot 45 g, Green Beans 25 g, Onion 25 g, Peas 20 g, Oil 7 g, Cumin 1 g, Water 125 g, Salt 2 g"
Peas pulao,matar pulao,1 bowl,220,"Basmati Rice 65 g, Peas 65 g, Onion 25 g, Oil 7 g, Cumin 1 g, Water 125 g, Salt 2 g"
Kashmiri pulao,—,1 bowl,220,"Basmati Rice 65 g, Apple 45 g, Cashews 18 g, Onion 25 g, Peas 20 g, Oil 7 g, Cumin 1 g, Water 125 g, Salt 2 g"
Paneer pulao,—,1 bowl,220,"Basmati Rice 65 g, Paneer 45 g, Peas 45 g, Onion 25 g, Oil 7 g, Cumin 1 g, Water 125 g, Salt 2 g"
Vegetable biryani,veg biryani,1 plate,280,"Basmati Rice 75 g, Carrot 90 g, Cauliflower 25 g, Onion 35 g, Yogurt 30 g, Tomato 25 g, Oil 10 g, Ginger 4 g, Garlic 5 g, Biryani Masala 3 g, Water 120 g, Salt 2 g"
Chicken biryani,—,1 plate,280,"Basmati Rice 75 g, Chicken 90 g, Onion 35 g, Yogurt 30 g, Tomato 25 g, Oil 10 g, Ginger 4 g, Garlic 5 g, Biryani Masala 3 g, Water 120 g, Salt 2 g"
Mutton biryani,gosht biryani,1 plate,280,"Basmati Rice 75 g, Mutton 90 g, Onion 35 g, Yogurt 30 g, Tomato 25 g, Oil 10 g, Ginger 4 g, Garlic 5 g, Biryani Masala 3 g, Water 120 g, Salt 2 g"
Egg biryani,anda biryani,1 plate,280,"Basmati Rice 75 g, Egg 90 g, Onion 35 g, Yogurt 30 g, Tomato 25 g, Oil 10 g, Ginger 4 g, Garlic 5 g, Biryani Masala 3 g, Water 120 g, Salt 2 g"
Fish biryani,machhli biryani,1 plate,280,"Basmati Rice 75 g, Fish 90 g, Onion 35 g, Yogurt 30 g, Tomato 25 g, Oil 10 g, Ginger 4 g, Garlic 5 g, Biryani Masala 3 g, Water 120 g, Salt 2 g"
Prawn biryani,shrimp biryani,1 plate,280,"Basmati Rice 75 g, Prawns 90 g, Onion 35 g, Yogurt 30 g, Tomato 25 g, Oil 10 g, Ginger 4 g, Garlic 5 g, Biryani Masala 3 g, Water 120 g, Salt 2 g"
Vegetable fried rice,veg fried rice,1 bowl,220,"Rice Cooked 150 g, Mixed Vegetables 45 g, Carrot 20 g, Green Beans 15 g, Spring Onion 10 g, Oil 7 g, Soy Sauce 6 g, Salt 1 g"
Chicken fried rice,—,1 bowl,220,"Rice Cooked 150 g, Chicken 45 g, Carrot 20 g, Green Beans 15 g, Spring Onion 10 g, Oil 7 g, Soy Sauce 6 g, Salt 1 g"
Egg fried rice,—,1 bowl,220,"Rice Cooked 150 g, Egg 45 g, Carrot 20 g, Green Beans 15 g, Spring Onion 10 g, Oil 7 g, Soy Sauce 6 g, Salt 1 g"
Schezwan fried rice,Sichuan fried rice,1 bowl,220,"Rice Cooked 150 g, Mixed Vegetables 45 g, Schezwan Sauce 25 g, Carrot 20 g, Green Beans 15 g, Spring Onion 10 g, Oil 7 g, Soy Sauce 6 g, Salt 1 g"
Plain khichdi,khichri,1 bowl,230,"Rice 45 g, Moong Dal 30 g, Ghee 5 g, Cumin 1 g, Turmeric 1 g, Water 180 g, Salt 2 g"
Moong dal khichdi,—,1 bowl,230,"Rice 45 g, Moong Dal 30 g, Ghee 5 g, Cumin 1 g, Turmeric 1 g, Water 180 g, Salt 2 g"
Masala khichdi,vegetable khichdi,1 bowl,230,"Rice 45 g, Moong Dal 30 g, Mixed Vegetables 35 g, Ghee 5 g, Cumin 1 g, Turmeric 1 g, Water 180 g, Salt 2 g"
Palak khichdi,spinach khichdi,1 bowl,230,"Rice 45 g, Moong Dal 30 g, Spinach 35 g, Ghee 5 g, Cumin 1 g, Turmeric 1 g, Water 180 g, Salt 2 g"
Sambar rice,sambar sadam,1 bowl,230,"Rice 45 g, Toor Dal 30 g, Mixed Vegetables 35 g, Ghee 5 g, Cumin 1 g, Turmeric 1 g, Water 180 g, Salt 2 g"
Rajma chawal,kidney bean rice,1 bowl,220,"Basmati Rice 65 g, Kidney Beans Cooked 45 g, Onion 25 g, Peas 20 g, Oil 7 g, Cumin 1 g, Water 125 g, Salt 2 g"
Chole rice,chana chawal,1 bowl,220,"Basmati Rice 65 g, Chickpeas Cooked 45 g, Onion 25 g, Peas 20 g, Oil 7 g, Cumin 1 g, Water 125 g, Salt 2 g"
Kadhi chawal,kadhi rice,1 bowl,220,"Basmati Rice 65 g, Yogurt 55 g, Besan 25 g, Onion 25 g, Peas 20 g, Oil 7 g, Cumin 1 g, Water 125 g, Salt 2 g"
Peas masala rice,matar masala rice,1 bowl,190,"Rice 60 g, Peas 35 g, Tomato 20 g, Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 120 g, Salt 2 g"
Mint rice,pudina rice,1 bowl,190,"Rice 60 g, Mint Leaves 30 g, Peas 20 g, Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 120 g, Salt 2 g"
Dal tadka,tadka dal,1 katori,180,"Toor Dal 42 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Dal fry,—,1 katori,180,"Toor Dal 42 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Dal makhani,maa ki dal,1 katori,180,"Whole Urad Dal 42 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Rajma masala,kidney bean curry,1 katori,180,"Kidney Beans 50 g, Onion 25 g, Tomato 30 g, Oil 7 g, Ginger 3 g, Garlic 4 g, Cumin 1 g, Water 130 g, Salt 2 g"
Chole,chana masala,1 katori,180,"Chickpeas 50 g, Onion 25 g, Tomato 30 g, Oil 7 g, Ginger 3 g, Garlic 4 g, Cumin 1 g, Water 130 g, Salt 2 g"
Kala chana curry,black chickpea curry,1 katori,180,"Black Chickpeas 50 g, Onion 25 g, Tomato 30 g, Oil 7 g, Ginger 3 g, Garlic 4 g, Cumin 1 g, Water 130 g, Salt 2 g"
Lobia curry,black-eyed pea curry,1 katori,180,"Black-Eyed Peas 50 g, Onion 25 g, Tomato 30 g, Oil 7 g, Ginger 3 g, Garlic 4 g, Cumin 1 g, Water 130 g, Salt 2 g"
Moong dal,yellow moong dal,1 katori,180,"Moong Dal 42 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Masoor dal,red lentil dal,1 katori,180,"Masoor Dal 42 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Toor dal,arhar dal,1 katori,180,"Toor Dal 42 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Chana dal,Bengal gram dal,1 katori,180,"Chana Dal 42 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Urad dal,black gram dal,1 katori,180,"Urad Dal 42 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Panchmel dal,panchratna dal,1 katori,180,"Mixed Dals 42 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Palak dal,dal palak,1 katori,180,"Toor Dal 42 g, Spinach 30 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Methi dal,fenugreek dal,1 katori,180,"Toor Dal 42 g, Fenugreek Leaves 30 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Lauki chana dal,bottle gourd chana dal,1 katori,180,"Chana Dal 42 g, Bottle Gourd 35 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Sambar,sambhar,1 katori,180,"Toor Dal 42 g, Mixed Vegetables 35 g, Onion 18 g, Tomato 25 g, Ghee 5 g, Garlic 4 g, Cumin 1 g, Turmeric 1 g, Water 145 g, Salt 2 g"
Rasam,saaru,1 bowl,200,"Tomato 80 g, Tamarind 12 g, Pepper 1 g, Cumin 1 g, Water 150 g, Salt 2 g"
Kadhi,dahi kadhi,1 katori,180,"Yogurt 130 g, Besan 18 g, Ghee 5 g, Cumin 1 g, Mustard Seeds 1 g, Turmeric 1 g, Water 80 g, Salt 2 g"
Punjabi kadhi pakora,kadhi pakoda,1 katori,180,"Yogurt 100 g, Besan 18 g, Onion Pakora 30 g, Ghee 5 g, Cumin 1 g, Mustard Seeds 1 g, Turmeric 1 g, Water 80 g, Salt 2 g"
Whole moong curry,green gram curry,1 katori,180,"Whole Moong 50 g, Onion 25 g, Tomato 30 g, Oil 7 g, Ginger 3 g, Garlic 4 g, Cumin 1 g, Water 130 g, Salt 2 g"
Sprouted moong curry,moong sprouts curry,1 katori,180,"Whole Moong 50 g, Onion 25 g, Tomato 30 g, Oil 7 g, Ginger 3 g, Garlic 4 g, Cumin 1 g, Water 130 g, Salt 2 g"
Horse gram curry,kulthi curry,1 katori,180,"Horse Gram 50 g, Onion 25 g, Tomato 30 g, Oil 7 g, Ginger 3 g, Garlic 4 g, Cumin 1 g, Water 130 g, Salt 2 g"
Mixed sprouts curry,sprouts masala,1 katori,180,"Mixed Sprouts 50 g, Onion 25 g, Tomato 30 g, Oil 7 g, Ginger 3 g, Garlic 4 g, Cumin 1 g, Water 130 g, Salt 2 g"
Tomato soup,—,1 bowl,200,"Tomato 80 g, Pepper 1 g, Cumin 1 g, Water 150 g, Salt 2 g"
Mixed vegetable soup,veg soup,1 bowl,200,"Mixed Vegetables 50 g, Tomato 30 g, Pepper 1 g, Cumin 1 g, Water 150 g, Salt 2 g"
Sweet corn soup,—,1 bowl,200,"Sweet Corn 50 g, Carrot 25 g, Tomato 30 g, Pepper 1 g, Cumin 1 g, Water 150 g, Salt 2 g"
Curd,"dahi, yogurt",1 katori,120,Yogurt 120 g
Cucumber raita,kheera raita,1 katori,120,"Yogurt 105 g, Cucumber 20 g, Cumin 1 g, Salt 1 g"
Boondi raita,—,1 katori,120,"Yogurt 105 g, Boondi 20 g, Cumin 1 g, Salt 1 g"
Onion raita,pyaz raita,1 katori,120,"Yogurt 105 g, Onion 20 g, Cumin 1 g, Salt 1 g"
Mixed vegetable raita,veg raita,1 katori,120,"Yogurt 105 g, Cucumber 20 g, Carrot 10 g, Cumin 1 g, Salt 1 g"
Pineapple raita,—,1 katori,120,"Yogurt 105 g, Pineapple 20 g, Cumin 1 g, Salt 1 g"
Paneer butter masala,butter paneer,1 katori,170,"Paneer 75 g, Tomato 55 g, Onion 25 g, Oil 7 g, Cream 12 g, Ginger 3 g, Garlic 4 g, Garam Masala 2 g, Salt 2 g"
Palak paneer,saag paneer,1 katori,170,"Paneer 75 g, Spinach 30 g, Onion 25 g, Oil 7 g, Cream 12 g, Ginger 3 g, Garlic 4 g, Garam Masala 2 g, Salt 2 g"
Kadai paneer,karahi paneer,1 katori,170,"Paneer 75 g, Capsicum 55 g, Onion 25 g, Oil 7 g, Cream 12 g, Ginger 3 g, Garlic 4 g, Garam Masala 2 g, Salt 2 g"
Shahi paneer,—,1 katori,170,"Paneer 75 g, Cashews 18 g, Onion 25 g, Oil 7 g, Cream 12 g, Ginger 3 g, Garlic 4 g, Garam Masala 2 g, Salt 2 g"
Matar paneer,peas paneer,1 katori,170,"Paneer 75 g, Peas 55 g, Onion 25 g, Oil 7 g, Cream 12 g, Ginger 3 g, Garlic 4 g, Garam Masala 2 g, Salt 2 g"
Paneer tikka masala,—,1 katori,170,"Paneer 75 g, Tomato 55 g, Onion 25 g, Oil 7 g, Cream 12 g, Ginger 3 g, Garlic 4 g, Garam Masala 2 g, Salt 2 g"
Paneer lababdar,—,1 katori,170,"Paneer 75 g, Tomato 55 g, Onion 25 g, Oil 7 g, Cream 12 g, Ginger 3 g, Garlic 4 g, Garam Masala 2 g, Salt 2 g"
Paneer do pyaza,—,1 katori,170,"Paneer 75 g, Onion 80 g, Oil 7 g, Cream 12 g, Ginger 3 g, Garlic 4 g, Garam Masala 2 g, Salt 2 g"
Paneer bhurji,scrambled paneer,1 katori,170,"Paneer 75 g, Onion 80 g, Capsicum 25 g, Oil 7 g, Cream 12 g, Ginger 3 g, Garlic 4 g, Garam Masala 2 g, Salt 2 g"
Malai kofta,paneer kofta curry,1 katori,170,"Paneer 75 g, Tomato 55 g, Potato 25 g, Onion 25 g, Oil 7 g, Cream 12 g, Ginger 3 g, Garlic 4 g, Garam Masala 2 g, Salt 2 g"
Methi malai matar,—,1 katori,170,"Paneer 75 g, Fenugreek Leaves 30 g, Peas 25 g, Onion 25 g, Oil 7 g, Cream 12 g, Ginger 3 g, Garlic 4 g, Garam Masala 2 g, Salt 2 g"
Kaju curry,cashew curry,1 katori,160,"Cashews 45 g, Onion 25 g, Tomato 35 g, Yogurt 25 g, Oil 7 g, Ginger 3 g, Garlic 4 g, Water 45 g, Salt 2 g"
Navratan korma,nine-gem korma,1 katori,150,"Mixed Vegetables 105 g, Cashews 18 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Aloo gobi,potato cauliflower curry,1 katori,150,"Potato 105 g, Cauliflower 35 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Bhindi masala,okra masala,1 katori,150,"Okra 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Mix veg curry,mixed vegetable curry,1 katori,150,"Mixed Vegetables 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Aloo matar,potato peas curry,1 katori,150,"Potato 105 g, Peas 35 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Aloo palak,potato spinach curry,1 katori,150,"Potato 105 g, Spinach 30 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Dum aloo,—,1 katori,150,"Potato 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Jeera aloo,cumin potatoes,1 katori,150,"Potato 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Aloo capsicum,potato bell pepper,1 katori,150,"Potato 105 g, Capsicum 35 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Aloo beans,potato green beans,1 katori,150,"Potato 105 g, Green Beans 35 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Aloo baingan,potato brinjal,1 katori,150,"Potato 105 g, Eggplant 35 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Baingan bharta,roasted eggplant mash,1 katori,150,"Eggplant 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Bharwa baingan,stuffed eggplant,1 katori,150,"Eggplant 105 g, Peanuts 18 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Baingan masala,brinjal masala,1 katori,150,"Eggplant 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Lauki sabzi,bottle gourd curry,1 katori,150,"Bottle Gourd 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Lauki kofta,bottle gourd kofta,1 katori,150,"Bottle Gourd 105 g, Besan 35 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Tori sabzi,ridge gourd curry,1 katori,150,"Ridge Gourd 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Karela sabzi,bitter gourd curry,1 katori,150,"Bitter Gourd 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Bharwa karela,stuffed bitter gourd,1 katori,150,"Bitter Gourd 105 g, Onion 55 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Cabbage sabzi,patta gobi sabzi,1 katori,150,"Cabbage 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Cabbage peas sabzi,—,1 katori,150,"Cabbage 105 g, Peas 35 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Beans poriyal,green beans stir-fry,1 katori,170,"Green Beans 100 g, Coconut 25 g, Coconut Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 45 g, Salt 2 g"
Carrot beans poriyal,—,1 katori,170,"Carrot 100 g, Green Beans 35 g, Coconut 25 g, Coconut Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 45 g, Salt 2 g"
Beetroot poriyal,—,1 katori,170,"Beetroot 100 g, Coconut 25 g, Coconut Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 45 g, Salt 2 g"
Pumpkin sabzi,kaddu sabzi,1 katori,150,"Pumpkin 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Raw banana curry,plantain curry,1 katori,170,"Raw Banana 100 g, Coconut 25 g, Coconut Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 45 g, Salt 2 g"
Arbi masala,colocasia curry,1 katori,150,"Colocasia 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Mushroom masala,—,1 katori,150,"Mushroom 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Mushroom matar,mushroom peas curry,1 katori,150,"Mushroom 105 g, Peas 35 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Capsicum masala,bell pepper curry,1 katori,150,"Capsicum 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Corn palak,spinach corn curry,1 katori,150,"Spinach 105 g, Sweet Corn 35 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Vegetable korma,veg kurma,1 katori,170,"Mixed Vegetables 100 g, Coconut 60 g, Coconut Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 45 g, Salt 2 g"
Methi aloo,fenugreek potato,1 katori,150,"Potato 105 g, Fenugreek Leaves 30 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Sarson ka saag,mustard greens curry,1 katori,150,"Mustard Greens 105 g, Spinach 30 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Chana saag,chickpea spinach curry,1 katori,180,"Chickpeas 50 g, Spinach 30 g, Onion 25 g, Tomato 30 g, Oil 7 g, Ginger 3 g, Garlic 4 g, Cumin 1 g, Water 130 g, Salt 2 g"
Jackfruit curry,kathal curry,1 katori,150,"Raw Jackfruit 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Drumstick curry,moringa curry,1 katori,170,"Drumstick 100 g, Coconut 25 g, Coconut Oil 6 g, Mustard Seeds 1 g, Curry Leaves 1 g, Water 45 g, Salt 2 g"
Cluster beans sabzi,gawar sabzi,1 katori,150,"Cluster Beans 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Green peas masala,matar masala,1 katori,150,"Peas 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Baby corn masala,—,1 katori,150,"Baby Corn 105 g, Onion 20 g, Tomato 25 g, Oil 7 g, Cumin 1 g, Turmeric 1 g, Coriander 2 g, Salt 2 g"
Soya chunk curry,meal maker curry,1 katori,180,"Soya Chunks 50 g, Onion 25 g, Tomato 30 g, Oil 7 g, Ginger 3 g, Garlic 4 g, Cumin 1 g, Water 130 g, Salt 2 g"
Chicken curry,murgh curry,1 katori,190,"Chicken 120 g, Onion 40 g, Tomato 30 g, Oil 9 g, Ginger 4 g, Garlic 5 g, Spice Mix 3 g, Water 55 g, Salt 2 g"
Butter chicken,murgh makhani,1 katori,190,"Chicken 120 g, Tomato 70 g, Butter 7 g, Oil 9 g, Ginger 4 g, Garlic 5 g, Spice Mix 3 g, Water 55 g, Salt 2 g"
Kadai chicken,karahi chicken,1 katori,190,"Chicken 120 g, Capsicum 40 g, Tomato 30 g, Oil 9 g, Ginger 4 g, Garlic 5 g, Spice Mix 3 g, Water 55 g, Salt 2 g"
