Food,Also,Serving,g,Composition
Dharwad peda,dharwad pedha,3 pieces,70,"Khoya 50 g, sugar 15 g, ghee 2 g, cardamom 1 g"
Obbattu,"holige, bele obbattu",1 piece,100,"Wheat flour 35 g, chana dal 25 g, jaggery 20 g, coconut 8 g, ghee 6 g, cardamom 1 g, water 15 g"
Coconut holige,kai holige,1 piece,100,"Wheat flour 35 g, coconut 20 g, jaggery 18 g, ghee 6 g, cardamom 1 g, water 18 g"
Kesari bath,kesari bath,1 bowl,150,"Semolina 35 g, sugar 22 g, ghee 10 g, cashew 5 g, raisins 4 g, saffron 1 g, water 75 g"
Chow chow bath,khara bath kesari bath combo,1 plate,250,"Semolina 55 g, vegetables 30 g, onion 15 g, ghee/oil 12 g, sugar 12 g, cashew 4 g, spices 3 g, water 110 g, salt 2 g"
Khara bath,rava bath,1 bowl,190,"Semolina 45 g, carrot 15 g, peas 15 g, beans 10 g, onion 15 g, oil 7 g, spices 4 g, cashew 4 g, water 105 g, salt 2 g"
Puliogare Karnataka,puliyogare,1 bowl,210,"Rice cooked 150 g, tamarind pulp 15 g, peanuts 15 g, sesame 5 g, oil 7 g, jaggery 5 g, spice powder 5 g, curry leaves 2 g, salt 2 g"
Kosambari,hesarubele kosambari,1 bowl,140,"Moong dal soaked 35 g, cucumber 45 g, carrot 20 g, coconut 8 g, lemon juice 5 g, coriander 3 g, mustard 1 g, salt 1 g"
Karnataka saagu,vegetable saagu,1 katori,180,"Potato 30 g, carrot 25 g, peas 20 g, beans 20 g, cauliflower 20 g, coconut 12 g, poppy seeds 3 g, coriander 3 g, oil 5 g, spices 3 g, salt 2 g"
Majjige huli,majjige huli,1 katori,180,"Ash gourd 70 g, yogurt 65 g, coconut 12 g, cumin 1 g, green chili 2 g, oil 4 g, curry leaves 2 g, mustard 1 g, water 35 g, salt 2 g"
Soppu palya,greens stir fry,1 katori,130,"Amaranth/greens 100 g, grated coconut 8 g, oil 5 g, mustard 1 g, urad dal 2 g, chili 2 g, garlic 2 g, salt 2 g"
Avarekalu usal,hyacinth bean curry,1 katori,180,"Hyacinth beans 90 g, onion 20 g, tomato 20 g, coconut 8 g, oil 6 g, spices 4 g, coriander 2 g, water 45 g, salt 2 g"
Thatte idli,thatte idli,1 large piece,100,"Idli rice 35 g, urad dal 12 g, fenugreek 1 g, water 65 g, salt 1 g"
Udupi sambar,Udupi sambhar,1 bowl,220,"Toor dal 30 g, pumpkin 25 g, carrot 20 g, potato 20 g, onion 15 g, coconut 8 g, tamarind 8 g, oil 4 g, sambar spice 5 g, water 120 g, salt 2 g"
Udupi rasam,Udupi saaru,1 bowl,180,"Tomato 45 g, toor dal water 30 g, tamarind 6 g, rasam powder 4 g, coconut 4 g, cumin 1 g, pepper 1 g, coriander 2 g, water 90 g, salt 2 g"
Mysore rasam,Mysuru saaru,1 bowl,180,"Tomato 45 g, toor dal water 30 g, tamarind 5 g, Mysore rasam powder 5 g, coconut 5 g, jaggery 2 g, water 90 g, salt 2 g"
Kadlekai usli,peanut usli,1 bowl,150,"Peanuts cooked 70 g, onion 20 g, coconut 8 g, coriander 3 g, lemon juice 5 g, mustard 1 g, oil 4 g, curry leaves 2 g, salt 2 g"
Kanchipuram idli,Kanjeevaram idli,2 pieces,150,"Idli rice 38 g, urad dal 14 g, yogurt 12 g, ginger 2 g, black pepper 1 g, cumin 1 g, cashew 5 g, ghee 4 g, curry leaves 2 g, salt 2 g, water 85 g"
Kothu parotta,koththu parotta,1 plate,300,"Parotta 120 g, egg 1 piece, onion 35 g, tomato 25 g, cabbage 20 g, oil 10 g, salna 45 g, chili 2 g, curry leaves 2 g, coriander 3 g, salt 2 g"
Parotta,"Malabar parotta, paratha Tamil style",1 piece,110,"Refined flour 65 g, oil 12 g, water 30 g, salt 1 g"
Parotta with salna,parotta salna,1 plate,220,"Parotta 110 g, vegetable salna 95 g, onion 10 g, coriander 2 g, oil 3 g"
Vathal kuzhambu,vatha kuzhambu,1 katori,160,"Tamarind pulp 15 g, shallots 20 g, dried vegetables 10 g, sesame oil 7 g, jaggery 5 g, sambar powder 5 g, fenugreek 1 g, curry leaves 2 g, water 85 g, salt 2 g"
Mor kuzhambu,buttermilk curry,1 katori,180,"Yogurt 75 g, ash gourd 45 g, coconut 10 g, cumin 1 g, green chili 2 g, turmeric 1 g, coconut oil 4 g, mustard 1 g, curry leaves 2 g, water 40 g, salt 2 g"
Puli kuzhambu,tamarind kuzhambu,1 katori,170,"Tamarind pulp 15 g, onion 25 g, tomato 15 g, sesame oil 7 g, coconut 8 g, chili powder 3 g, curry leaves 2 g, water 75 g, salt 2 g"
Keerai masiyal,keerai kadaiyal,1 katori,150,"Amaranth/spinach 120 g, garlic 3 g, green chili 2 g, oil 4 g, cumin 1 g, salt 2 g, water 20 g"
Keerai kootu,spinach kootu,1 katori,170,"Spinach 90 g, moong dal 22 g, coconut 10 g, cumin 1 g, green chili 2 g, oil 4 g, mustard 1 g, curry leaves 2 g, water 45 g, salt 2 g"
Beans paruppu usili,beans usili,1 katori,160,"French beans 85 g, chana dal 15 g, toor dal 10 g, coconut 6 g, oil 6 g, mustard 1 g, curry leaves 2 g, chili 2 g, salt 2 g"
Paruppu usili,dal crumble,1 katori,150,"Chana dal 15 g, toor dal 15 g, beans 55 g, coconut 5 g, oil 6 g, chili 2 g, mustard 1 g, curry leaves 2 g, salt 2 g, water 20 g"
Kara kuzhambu,kara kulambu,1 katori,180,"Tamarind pulp 15 g, onion 25 g, tomato 20 g, brinjal 35 g, sesame oil 7 g, coconut 8 g, spice powder 5 g, curry leaves 2 g, water 65 g, salt 2 g"
Ennai kathirikai,ennai kathirikkai,1 katori,170,"Brinjal 100 g, peanuts 10 g, coconut 8 g, sesame seeds 4 g, tamarind 5 g, sesame oil 8 g, spices 4 g, jaggery 3 g, salt 2 g"
Podimas,urulai kilangu podimas,1 katori,150,"Potato 105 g, onion 15 g, coconut 6 g, oil 5 g, mustard 1 g, urad dal 2 g, curry leaves 2 g, lemon juice 4 g, chili 2 g, salt 2 g"
Urulai roast,potato roast Tamil style,1 katori,160,"Potato 110 g, sesame oil 7 g, mustard 1 g, curry leaves 2 g, chili powder 2 g, coriander 2 g, salt 2 g"
Vendakkai poriyal,okra poriyal,1 katori,140,"Okra 105 g, onion 15 g, coconut 6 g, oil 5 g, mustard 1 g, urad dal 2 g, curry leaves 2 g, chili 1 g, salt 2 g"
Beetroot poriyal,beetroot thoran Tamil style,1 katori,140,"Beetroot 105 g, coconut 8 g, oil 5 g, mustard 1 g, urad dal 2 g, curry leaves 2 g, chili 1 g, salt 2 g"
Carrot beans poriyal,carrot beans curry,1 katori,140,"Carrot 50 g, beans 50 g, coconut 8 g, oil 5 g, mustard 1 g, urad dal 2 g, curry leaves 2 g, chili 1 g, salt 2 g"
Pachadi,South Indian pachadi,1 bowl,130,"Cucumber 55 g, yogurt 55 g, coconut 8 g, green chili 1 g, mustard 1 g, curry leaves 1 g, coriander 2 g, salt 2 g"
Pineapple pachadi,pineapple raita pachadi,1 bowl,140,"Pineapple 70 g, yogurt 45 g, coconut 8 g, mustard 1 g, green chili 1 g, curry leaves 1 g, salt 2 g"
Thakkali thokku,tomato thokku,2 tbsp,60,"Tomato 50 g, sesame oil 5 g, chili powder 2 g, mustard 1 g, fenugreek 1 g, jaggery 2 g, curry leaves 1 g, salt 1 g"
Idli podi,milagai podi,2 tbsp,25,"Urad dal 8 g, chana dal 7 g, dried red chili 5 g, sesame 3 g, jaggery 1 g, salt 1 g"
Kara chutney,red chutney,2 tbsp,40,"Onion 15 g, tomato 15 g, dried red chili 3 g, oil 3 g, tamarind 2 g, salt 1 g"
Pesarattu Tamil style,green gram dosa,1 dosa,130,"Green gram 45 g, rice 10 g, ginger 2 g, green chili 2 g, onion 10 g, oil 5 g, water 55 g, salt 1 g"
Adai,adai dosa,2 pieces,150,"Rice 25 g, chana dal 12 g, toor dal 12 g, urad dal 8 g, moong dal 8 g, onion 15 g, drumstick leaves 15 g, chili 2 g, oil 5 g, water 65 g, salt 2 g"
Paniyaram masala,kaara paniyaram,6 pieces,160,"Idli dosa batter 90 g, onion 15 g, carrot 10 g, coriander 3 g, ginger 2 g, green chili 2 g, oil 8 g, mustard 1 g, curry leaves 2 g, salt 2 g"
Moru moru dosa,crispy dosa,1 dosa,95,"Rice batter 65 g, urad dal batter 18 g, oil 5 g, water 25 g, salt 1 g"
Ragi koozh,ragi ambli,1 bowl,250,"Ragi flour 30 g, buttermilk 90 g, water 125 g, onion 10 g, salt 2 g, curry leaves 1 g"
Kambu koozh,pearl millet porridge,1 bowl,250,"Pearl millet flour 35 g, buttermilk 80 g, water 135 g, salt 2 g"
Sakkarai pongal,sweet pongal,1 bowl,180,"Rice 30 g, moong dal 10 g, jaggery 30 g, ghee 8 g, milk 25 g, cashew 5 g, raisins 3 g, cardamom 1 g, water 75 g"
Paal payasam,milk payasam,1 bowl,180,"Rice 20 g, full-fat milk 145 g, sugar 15 g, cardamom 1 g, cashew 4 g, raisins 3 g"
Aval payasam,poha payasam,1 bowl,180,"Poha 20 g, milk 145 g, sugar 14 g, ghee 3 g, cardamom 1 g, cashew 4 g"
Paruppu payasam,dal payasam,1 bowl,170,"Moong dal 20 g, jaggery 25 g, coconut milk 45 g, cardamom 1 g, ghee 3 g, cashew 4 g, water 70 g"
Kalyana sambar,wedding sambar,1 bowl,220,"Toor dal 30 g, pumpkin 20 g, brinjal 20 g, carrot 20 g, onion 15 g, tomato 20 g, coconut 6 g, tamarind 7 g, oil 4 g, sambar spice 5 g, water 120 g, salt 2 g"
Hotel sambar,tiffin sambar,1 bowl,220,"Toor dal 28 g, moong dal 8 g, onion 15 g, tomato 25 g, carrot 20 g, pumpkin 15 g, coconut 6 g, tamarind 6 g, oil 4 g, sambar powder 5 g, water 125 g, salt 2 g"
Arachuvitta sambar,fresh-ground sambar,1 bowl,220,"Toor dal 30 g, vegetables 60 g, coconut 8 g, coriander seeds 2 g, chana dal 2 g, dried chili 2 g, tamarind 7 g, oil 4 g, water 115 g, salt 2 g"
Rasam Tamil style,milagu rasam,1 bowl,180,"Tomato 35 g, tamarind 6 g, cooked dal water 35 g, black pepper 1 g, cumin 1 g, garlic 3 g, coriander 2 g, water 95 g, salt 2 g"
Paruppu rasam,dal rasam,1 bowl,180,"Toor dal cooked 20 g, tomato 35 g, tamarind 5 g, pepper 1 g, cumin 1 g, garlic 2 g, coriander 2 g, water 100 g, salt 2 g"
Thayir vada,curd vada Tamil style,2 pieces,190,"Urad dal 30 g, yogurt 110 g, oil 12 g, ginger 2 g, green chili 2 g, curry leaves 2 g, mustard 1 g, coriander 2 g, salt 2 g"
Sundal,chickpea sundal,1 bowl,160,"Chickpeas cooked 100 g, coconut 8 g, oil 4 g, mustard 1 g, urad dal 2 g, curry leaves 2 g, dried red chili 1 g, lemon juice 4 g, salt 2 g"
Karamani sundal,black-eyed pea sundal,1 bowl,160,"Black-eyed peas cooked 100 g, coconut 8 g, oil 4 g, mustard 1 g, urad dal 2 g, curry leaves 2 g, chili 1 g, lemon juice 4 g, salt 2 g"
Murukku,chakli Tamil style,6 pieces,90,"Rice flour 35 g, urad flour 8 g, butter 5 g, sesame 2 g, cumin 1 g, oil 25 g, water 14 g, salt 2 g"
Thattai,thattai murukku,6 pieces,90,"Rice flour 35 g, roasted gram flour 8 g, urad flour 5 g, peanuts 6 g, sesame 2 g, oil 25 g, water 10 g, salt 2 g"
Seedai,uppu seedai,10 pieces,80,"Rice flour 35 g, urad flour 5 g, coconut 5 g, butter 4 g, sesame 2 g, oil 20 g, water 7 g, salt 2 g"
Kuzhi paniyaram sweet,sweet paniyaram,6 pieces,145,"Rice batter 65 g, jaggery 20 g, banana 20 g, coconut 8 g, ghee 5 g, cardamom 1 g, oil 8 g, water 20 g"
Kachumber,Gujarati kachumber,1 plate,100,"Cucumber 35 g, tomato 30 g, onion 20 g, coriander 3 g, lemon juice 5 g, roasted cumin 1 g, salt 1 g"
Gujarati dal dhokli,dal dhokli,1 bowl,280,"Toor dal 35 g, wheat flour 35 g, peanuts 8 g, jaggery 5 g, tomato 20 g, kokum 3 g, oil 5 g, cumin 1 g, mustard 1 g, curry leaves 2 g, spices 3 g, water 150 g, salt 2 g"
Sev usal,sev usal Gujarati,1 bowl,230,"Dried peas cooked 80 g, onion 25 g, tomato 25 g, sev 35 g, oil 7 g, garlic 3 g, spices 5 g, coriander 3 g, lemon 5 g, water 40 g, salt 2 g"
Ragda pattice,ragda patties Gujarati,1 plate,280,"White peas cooked 90 g, potato 70 g, oil 8 g, sev 20 g, chutneys 25 g, onion 15 g, coriander 3 g, spices 4 g, lemon 5 g, salt 2 g, water 35 g"
Locho,Surat locho,1 plate,180,"Chana dal 30 g, urad dal 8 g, semolina 8 g, yogurt 15 g, oil 6 g, ginger 2 g, green chili 2 g, turmeric 1 g, water 95 g, sev 8 g, coriander 3 g, salt 2 g"
Surti locho with sev,locho sev tameta,1 plate,200,"Chana dal 30 g, urad dal 8 g, semolina 8 g, yogurt 15 g, oil 6 g, sev 15 g, onion 10 g, coriander 3 g, spices 2 g, water 95 g, salt 2 g"
Khaman,nylon khaman,4 pieces,110,"Gram flour 50 g, semolina 5 g, sugar 5 g, lemon juice 3 g, oil 4 g, eno 1 g, water 45 g, mustard 1 g, sesame 1 g, coriander 2 g, salt 2 g"
White dhokla,khatta dhokla,4 pieces,130,"Rice 30 g, urad dal 12 g, yogurt 20 g, sour curd 10 g, oil 4 g, green chili 2 g, ginger 2 g, eno 1 g, water 50 g, salt 2 g"
Rasawala bateta,rasawala bateta,1 katori,180,"Potato 105 g, tomato 20 g, peanut powder 8 g, jaggery 5 g, oil 6 g, cumin 1 g, turmeric 1 g, chili 2 g, coriander 2 g, water 40 g, salt 2 g"
Doodhi muthiya,lauki muthia,6 pieces,160,"Bottle gourd 65 g, wheat flour 20 g, gram flour 18 g, semolina 8 g, yogurt 8 g, sesame 3 g, oil 6 g, ginger 2 g, chili 2 g, coriander 3 g, spices 2 g, salt 2 g, water 25 g"
Methi muthiya,methi muthia,6 pieces,150,"Fenugreek leaves 35 g, wheat flour 25 g, gram flour 15 g, semolina 8 g, yogurt 10 g, sesame 3 g, oil 7 g, ginger 2 g, chili 2 g, coriander 3 g, salt 2 g, water 20 g"
Lilva kachori,tuvar lilva kachori,2 pieces,130,"Refined flour 45 g, fresh pigeon peas 25 g, coconut 6 g, sesame 3 g, oil 20 g, spices 4 g, ginger 2 g, water 20 g, salt 2 g"
Surti ghari,Surat ghari,1 piece,75,"Refined flour 25 g, mawa 25 g, sugar 12 g, ghee 6 g, milk 5 g, cardamom 1 g, nuts 3 g"
Ghughra,gujiya Gujarati style,2 pieces,100,"Refined flour 40 g, coconut 10 g, sugar 18 g, mawa 12 g, sesame 2 g, ghee 5 g, oil 10 g, water 10 g, cardamom 1 g"
Mohanthal,mohantal,2 pieces,80,"Gram flour 35 g, ghee 15 g, sugar 20 g, milk 5 g, cardamom 1 g, nuts 4 g"
Sukhdi,gol papdi,2 pieces,70,"Wheat flour 25 g, jaggery 25 g, ghee 15 g, sesame 2 g, cardamom 1 g"
Chikki,peanut chikki,2 pieces,60,"Peanuts 35 g, jaggery 22 g, ghee 2 g"
Magas,"magaj, besan burfi Gujarati",2 pieces,70,"Gram flour 32 g, ghee 15 g, powdered sugar 18 g, milk 3 g, cardamom 1 g, nuts 4 g"
Dudhi halwa Gujarati,lauki halwa,1 bowl,160,"Bottle gourd 100 g, milk 40 g, sugar 15 g, ghee 5 g, khoya 10 g, nuts 4 g, cardamom 1 g"
Lapsi,Gujarati lapsi,1 bowl,170,"Broken wheat 40 g, ghee 8 g, jaggery 20 g, milk 20 g, raisins 4 g, nuts 4 g, cardamom 1 g, water 80 g"
Khichu,rice flour khichu,1 bowl,180,"Rice flour 35 g, water 120 g, green chili 2 g, cumin 1 g, sesame oil 4 g, ajwain 1 g, salt 2 g"
Bajri no rotlo,bajra rotla,1 rotla,90,"Pearl millet flour 55 g, water 32 g, ghee 3 g, salt 1 g"
Jowar rotla Gujarati,jowar rotlo,1 rotla,90,"Sorghum flour 55 g, water 32 g, ghee 3 g, salt 1 g"
Bhakhri,Gujarati bhakhri,1 bhakhri,70,"Wheat flour 45 g, oil 5 g, water 22 g, salt 1 g"
Masala bhakhri,masala bhakhri,1 bhakhri,80,"Wheat flour 45 g, oil 6 g, sesame 2 g, cumin 1 g, chili 1 g, spices 2 g, water 22 g, salt 1 g"
Khichdi kadhi,Gujarati khichdi kadhi,1 plate,330,"Rice 35 g, moong dal 20 g, water 130 g, yogurt 85 g, gram flour 12 g, jaggery 4 g, ghee 5 g, cumin 1 g, mustard 1 g, curry leaves 2 g, salt 2 g"
Vaghareli khichdi,baghareli khichdi,1 bowl,250,"Rice 35 g, moong dal 20 g, peas 15 g, carrot 10 g, onion 15 g, ghee 5 g, oil 3 g, cumin 1 g, whole spices 2 g, water 140 g, salt 2 g"
Sev mamra,sev mamra,1 bowl,120,"Puffed rice 65 g, sev 20 g, peanuts 12 g, oil 4 g, turmeric 1 g, chili 1 g, curry leaves 2 g, salt 2 g"
Ganthiyaa,gathiya,1 plate,80,"Gram flour 55 g, oil 20 g, ajwain 1 g, turmeric 1 g, salt 2 g, water 12 g"
Papdi no lot,papdi lot,1 bowl,180,"Rice flour 35 g, yogurt 35 g, water 105 g, green chili 2 g, sesame 2 g, cumin 1 g, salt 1 g"
Farsan platter,Gujarati farsan mix,1 plate,220,"Khandvi 45 g, dhokla 45 g, patra 40 g, muthiya 40 g, sev 20 g, chutney 20 g, coriander 3 g, salt 1 g"
Dal dhokli no shaak,dal dhokli sabzi,1 katori,190,"Wheat flour 35 g, toor dal cooked 45 g, onion 15 g, tomato 20 g, jaggery 4 g, oil 6 g, spices 4 g, coriander 2 g, water 55 g, salt 2 g"
Khattu dhokla,sour dhokla,4 pieces,130,"Rice 30 g, urad dal 12 g, yogurt 20 g, sour curd 10 g, oil 4 g, green chili 2 g, ginger 2 g, water 50 g, salt 2 g"
Chorafali,chorafali,1 plate,70,"Gram flour 35 g, urad flour 10 g, oil 15 g, spices 2 g, water 8 g, salt 2 g"
Papdi,Gujarati papdi,1 plate,70,"Refined flour 40 g, oil 18 g, ajwain 1 g, water 10 g, salt 1 g"
Mango chhundo,kacchi keri chhundo,2 tbsp,45,"Raw mango 30 g, sugar 12 g, cumin 1 g, chili powder 1 g, salt 1 g"
Chana chor garam,roasted gram snack,1 bowl,80,"Roasted Bengal gram 65 g, peanuts 8 g, spices 3 g, oil 2 g, salt 2 g"
