Food,Also,Serving,g,Composition
Apple pie,apple tart,1 slice,130,"Apple 70 g, Refined Wheat Flour 38 g, Butter 24 g, Sugar 18 g, Water 12 g, Cinnamon 1 g, Salt 1 g"
Chocolate pudding,chocolate custard pudding,1 cup,150,"Full-Fat Milk 120 g, Sugar 18 g, Cocoa Powder 10 g, Corn Flour 9 g, Dark Chocolate 12 g, Butter 3 g"
Trifle,English trifle,1 cup,170,"Sponge Cake 45 g, Custard 55 g, Mixed Fruit 35 g, Jelly 25 g, Whipped Cream 20 g"
Chocolate brownie,brownie,1 piece,70,"Refined Wheat Flour 18 g, Dark Chocolate 20 g, Butter 18 g, Sugar 22 g, Egg 18 g, Cocoa Powder 6 g, Salt 1 g"
Cheesecake,baked cheesecake,1 slice,110,"Cream Cheese 55 g, Digestive Biscuits 25 g, Butter 10 g, Sugar 18 g, Egg 18 g, Cream 10 g, Vanilla 1 g"
Margherita pizza,pizza Margherita,2 slices,210,"Refined Wheat Flour 72 g, Water 46 g, Tomato Sauce 42 g, Mozzarella Cheese 58 g, Olive Oil 6 g, Yeast 1 g, Salt 2 g, Basil 3 g"
Farmhouse vegetable pizza,"farmhouse pizza, vegetable pizza",2 slices,240,"Refined Wheat Flour 72 g, Water 46 g, Tomato Sauce 42 g, Mozzarella Cheese 58 g, Olive Oil 6 g, Yeast 1 g, Salt 2 g, Onion 18 g, Bell Pepper 18 g, Tomato 18 g, Mushroom 20 g"
Cheese and corn pizza,corn cheese pizza,2 slices,225,"Refined Wheat Flour 72 g, Water 46 g, Tomato Sauce 42 g, Mozzarella Cheese 58 g, Olive Oil 6 g, Yeast 1 g, Salt 2 g, Sweet Corn Cooked 35 g"
Mushroom pizza,funghi pizza,2 slices,225,"Refined Wheat Flour 72 g, Water 46 g, Tomato Sauce 42 g, Mozzarella Cheese 58 g, Olive Oil 6 g, Yeast 1 g, Salt 2 g, Mushroom 45 g"
Paneer tikka pizza,paneer pizza,2 slices,250,"Refined Wheat Flour 72 g, Water 46 g, Tomato Sauce 42 g, Mozzarella Cheese 58 g, Olive Oil 6 g, Yeast 1 g, Salt 2 g, Paneer 50 g, Onion 15 g, Bell Pepper 15 g, Tikka Seasoning 3 g"
Chicken pizza,chicken cheese pizza,2 slices,250,"Refined Wheat Flour 72 g, Water 46 g, Tomato Sauce 42 g, Mozzarella Cheese 58 g, Olive Oil 6 g, Yeast 1 g, Salt 2 g, Chicken Cooked 55 g, Onion 15 g, Bell Pepper 15 g"
Pepperoni pizza,pepperoni cheese pizza,2 slices,235,"Refined Wheat Flour 72 g, Water 46 g, Tomato Sauce 42 g, Mozzarella Cheese 58 g, Olive Oil 6 g, Yeast 1 g, Salt 2 g, Pepperoni 42 g"
Four cheese pizza,quattro formaggi,2 slices,235,"Refined Wheat Flour 72 g, Water 46 g, Tomato Sauce 42 g, Mozzarella Cheese 58 g, Olive Oil 6 g, Yeast 1 g, Salt 2 g, Cheddar Cheese 15 g, Parmesan Cheese 10 g, Gouda Cheese 15 g"
Veggie supreme pizza,vegetable supreme pizza,2 slices,250,"Refined Wheat Flour 72 g, Water 46 g, Tomato Sauce 42 g, Mozzarella Cheese 58 g, Olive Oil 6 g, Yeast 1 g, Salt 2 g, Onion 15 g, Bell Pepper 15 g, Mushroom 18 g, Sweet Corn Cooked 18 g, Black Olives 10 g, Jalapeno 8 g"
Garlic bread,Italian garlic bread,2 pieces,100,"Refined Wheat Flour 60 g, Water 40 g, Butter 11 g, Garlic 5 g, Yeast 1 g, Parsley 1 g, Salt 1 g"
Cheese garlic bread,cheesy garlic bread,2 pieces,125,"Refined Wheat Flour 60 g, Water 40 g, Mozzarella Cheese 35 g, Butter 10 g, Garlic 5 g, Yeast 1 g, Parsley 1 g, Salt 1 g"
Bruschetta,tomato bruschetta,4 pieces,150,"Italian Bread 70 g, Tomato 55 g, Olive Oil 8 g, Garlic 4 g, Basil 3 g, Black Pepper 1 g, Salt 1 g"
Vegetable panini,veg panini,1 panini,190,"Ciabatta Bread 90 g, Mozzarella Cheese 30 g, Bell Pepper 25 g, Zucchini 20 g, Mushroom 20 g, Tomato Pesto 12 g, Olive Oil 5 g, Salt 1 g"
Chicken panini,grilled chicken panini,1 panini,210,"Ciabatta Bread 90 g, Chicken Cooked 70 g, Mozzarella Cheese 30 g, Tomato 20 g, Lettuce 12 g, Pesto 12 g, Olive Oil 5 g, Salt 1 g"
Focaccia,focaccia bread,1 piece,100,"Refined Wheat Flour 65 g, Water 45 g, Olive Oil 8 g, Yeast 1 g, Rosemary 1 g, Salt 2 g"
Vegetable calzone,veg calzone,1 calzone,230,"Refined Wheat Flour 75 g, Water 48 g, Tomato Sauce 35 g, Mozzarella Cheese 48 g, Mushroom 25 g, Bell Pepper 20 g, Onion 18 g, Olive Oil 6 g, Yeast 1 g, Salt 2 g"
Chicken calzone,chicken-stuffed calzone,1 calzone,250,"Refined Wheat Flour 75 g, Water 48 g, Tomato Sauce 35 g, Mozzarella Cheese 48 g, Chicken Cooked 60 g, Bell Pepper 18 g, Onion 18 g, Olive Oil 6 g, Yeast 1 g, Salt 2 g"
Arancini,risotto balls,4 pieces,160,"Risotto Rice Cooked 85 g, Mozzarella Cheese 28 g, Breadcrumbs 28 g, Egg 20 g, Tomato Sauce 35 g, Oil Absorbed 10 g, Salt 2 g"
Penne arrabbiata,"arrabbiata pasta, red sauce penne",1 bowl,250,"Penne Pasta 85 g, Tomato 105 g, Tomato Puree 20 g, Olive Oil 8 g, Garlic 5 g, Red Chili 2 g, Basil 3 g, Salt 2 g"
Penne in white sauce,"white sauce pasta, creamy penne",1 bowl,250,"Penne Pasta 85 g, Full-Fat Milk 105 g, Cream 22 g, Parmesan Cheese 15 g, Butter 8 g, Wheat Flour 8 g, Garlic 3 g, Black Pepper 1 g, Salt 2 g"
Pink sauce pasta,rose pasta,1 bowl,250,"Penne Pasta 85 g, Tomato 70 g, Full-Fat Milk 55 g, Cream 18 g, Parmesan Cheese 12 g, Olive Oil 7 g, Garlic 4 g, Basil 3 g, Salt 2 g"
Spaghetti aglio e olio,garlic olive oil spaghetti,1 bowl,220,"Spaghetti 85 g, Pasta Cooking Water 45 g, Olive Oil 15 g, Garlic 8 g, Red Chili Flakes 2 g, Parsley 4 g, Parmesan Cheese 10 g, Salt 2 g"
Spaghetti pomodoro,tomato basil spaghetti,1 bowl,250,"Spaghetti 85 g, Tomato 110 g, Tomato Puree 20 g, Olive Oil 9 g, Garlic 4 g, Basil 4 g, Salt 2 g"
Spaghetti bolognese,spaghetti with meat sauce,1 bowl,290,"Spaghetti 85 g, Beef Mince 80 g, Tomato 90 g, Onion 25 g, Carrot 20 g, Tomato Puree 18 g, Olive Oil 7 g, Garlic 4 g, Parmesan Cheese 10 g, Salt 2 g"
Pesto pasta,basil pesto pasta,1 bowl,220,"Penne Pasta 85 g, Basil 22 g, Olive Oil 14 g, Parmesan Cheese 18 g, Cashews 12 g, Garlic 4 g, Salt 2 g"
Macaroni in red sauce,tomato macaroni,1 bowl,250,"Macaroni 85 g, Tomato 90 g, Bell Pepper 25 g, Onion 20 g, Tomato Puree 18 g, Olive Oil 7 g, Garlic 4 g, Mixed Herbs 2 g, Salt 2 g"
Macaroni and cheese,mac and cheese,1 bowl,250,"Macaroni 85 g, Full-Fat Milk 105 g, Cheddar Cheese 40 g, Butter 9 g, Wheat Flour 8 g, Black Pepper 1 g, Salt 2 g"
Baked pasta,cheesy pasta bake,1 bowl,270,"Penne Pasta 85 g, Tomato 75 g, Tomato Puree 18 g, Mozzarella Cheese 40 g, Bell Pepper 20 g, Mushroom 20 g, Onion 18 g, Olive Oil 7 g, Salt 2 g"
Vegetable lasagna,veg lasagne,1 serving,280,"Lasagna Sheets 60 g, Tomato 80 g, Mushroom 35 g, Spinach 30 g, Zucchini 25 g, Mozzarella Cheese 45 g, Full-Fat Milk 55 g, Wheat Flour 7 g, Butter 7 g, Olive Oil 6 g, Salt 2 g"
Chicken lasagna,chicken lasagne,1 serving,300,"Lasagna Sheets 60 g, Chicken Cooked 75 g, Tomato 80 g, Onion 22 g, Mozzarella Cheese 45 g, Full-Fat Milk 55 g, Wheat Flour 7 g, Butter 7 g, Olive Oil 6 g, Salt 2 g"
Meat lasagna,beef lasagne,1 serving,310,"Lasagna Sheets 60 g, Beef Mince 85 g, Tomato 80 g, Onion 22 g, Mozzarella Cheese 45 g, Full-Fat Milk 55 g, Wheat Flour 7 g, Butter 7 g, Olive Oil 6 g, Salt 2 g"
Mushroom risotto,risotto ai funghi,1 bowl,260,"Arborio Rice 70 g, Vegetable Stock 160 g, Mushroom 70 g, Onion 22 g, Parmesan Cheese 18 g, Butter 8 g, Olive Oil 5 g, Garlic 3 g, Salt 2 g"
Vegetable risotto,veg risotto,1 bowl,260,"Arborio Rice 70 g, Vegetable Stock 160 g, Zucchini 25 g, Bell Pepper 25 g, Peas Cooked 25 g, Carrot 20 g, Onion 22 g, Parmesan Cheese 18 g, Butter 8 g, Olive Oil 5 g, Garlic 3 g, Salt 2 g"
Chicken risotto,chicken and mushroom risotto,1 bowl,260,"Arborio Rice 70 g, Vegetable Stock 160 g, Chicken Cooked 65 g, Mushroom 35 g, Onion 22 g, Parmesan Cheese 18 g, Butter 8 g, Olive Oil 5 g, Garlic 3 g, Salt 2 g"
Gnocchi in tomato sauce,tomato gnocchi,1 bowl,250,"Potato Cooked 130 g, Refined Wheat Flour 48 g, Egg 18 g, Tomato 90 g, Olive Oil 7 g, Garlic 4 g, Basil 3 g, Salt 2 g"
Ravioli in tomato sauce,tomato ravioli,1 bowl,250,"Refined Wheat Flour 70 g, Egg 28 g, Ricotta Cheese 35 g, Spinach 25 g, Tomato 90 g, Olive Oil 7 g, Garlic 4 g, Salt 2 g"
Ravioli in cream sauce,creamy ravioli,1 bowl,250,"Refined Wheat Flour 70 g, Egg 28 g, Ricotta Cheese 35 g, Spinach 25 g, Full-Fat Milk 80 g, Cream 20 g, Parmesan Cheese 12 g, Butter 6 g, Salt 2 g"
Spinach ricotta cannelloni,cannelloni,1 serving,280,"Cannelloni Pasta 65 g, Spinach 60 g, Ricotta Cheese 65 g, Tomato 75 g, Mozzarella Cheese 35 g, Olive Oil 7 g, Garlic 4 g, Salt 2 g"
Minestrone soup,Italian vegetable soup,1 bowl,230,"Kidney Beans Cooked 35 g, Pasta 22 g, Tomato 55 g, Carrot 25 g, Green Beans 20 g, Zucchini 20 g, Onion 18 g, Vegetable Stock 110 g, Olive Oil 5 g, Garlic 3 g, Salt 2 g"
Tomato basil soup,Italian tomato soup,1 bowl,220,"Tomato 150 g, Onion 20 g, Vegetable Stock 70 g, Cream 10 g, Olive Oil 5 g, Garlic 3 g, Basil 5 g, Black Pepper 1 g, Salt 2 g"
Caprese salad,tomato mozzarella salad,1 bowl,180,"Tomato 90 g, Fresh Mozzarella 65 g, Basil 8 g, Olive Oil 8 g, Balsamic Vinegar 5 g, Black Pepper 1 g, Salt 1 g"
Italian pasta salad,Mediterranean pasta salad,1 bowl,200,"Pasta Cooked 90 g, Tomato 30 g, Cucumber 25 g, Bell Pepper 25 g, Black Olives 12 g, Mozzarella Cheese 20 g, Olive Oil 7 g, Lemon Juice 5 g, Salt 1 g"
Polenta,creamy polenta,1 bowl,220,"Cornmeal 55 g, Water 180 g, Full-Fat Milk 45 g, Parmesan Cheese 15 g, Butter 7 g, Salt 2 g"
Tiramisu,coffee mascarpone dessert,1 slice,110,"Ladyfinger Biscuits 30 g, Mascarpone Cheese 42 g, Egg 20 g, Sugar 16 g, Coffee 22 g, Cocoa Powder 3 g"
Panna cotta,Italian cream pudding,1 cup,120,"Cream 75 g, Full-Fat Milk 35 g, Sugar 14 g, Gelatin 2 g, Vanilla 1 g"
Gelato,Italian ice cream,1 scoop,90,"Full-Fat Milk 60 g, Cream 22 g, Sugar 16 g, Milk Powder 6 g, Vanilla 1 g"
Vegetable Hakka noodles,veg Hakka noodles,1 bowl,250,"Wheat Noodles 88 g, Cabbage 35 g, Carrot 25 g, Bell Pepper 25 g, Spring Onion 15 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
Chicken Hakka noodles,chicken noodles,1 bowl,285,"Wheat Noodles 88 g, Chicken Cooked 65 g, Cabbage 35 g, Carrot 25 g, Bell Pepper 25 g, Spring Onion 15 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
Egg Hakka noodles,egg noodles,1 bowl,280,"Wheat Noodles 88 g, Egg 50 g, Cabbage 35 g, Carrot 25 g, Bell Pepper 25 g, Spring Onion 15 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
Schezwan noodles,Sichuan noodles,1 bowl,260,"Wheat Noodles 88 g, Cabbage 35 g, Carrot 25 g, Bell Pepper 25 g, Spring Onion 15 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Schezwan Sauce 18 g, Red Chili 2 g, Salt 2 g"
Vegetable chow mein,"veg chowmein, vegetable chowmein",1 bowl,250,"Wheat Noodles 88 g, Cabbage 35 g, Carrot 25 g, Bell Pepper 25 g, Spring Onion 15 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Tomato Sauce 8 g, Salt 2 g"
Chicken chow mein,chicken chowmein,1 bowl,285,"Wheat Noodles 88 g, Chicken Cooked 65 g, Cabbage 35 g, Carrot 25 g, Bell Pepper 25 g, Spring Onion 15 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Tomato Sauce 8 g, Salt 2 g"
Chilli garlic noodles,chili garlic noodles,1 bowl,255,"Wheat Noodles 88 g, Cabbage 35 g, Carrot 25 g, Bell Pepper 25 g, Spring Onion 15 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 8 g, Chili Sauce 12 g, Salt 2 g"
Singapore noodles,Singapore-style noodles,1 bowl,270,"Wheat Noodles 88 g, Egg 35 g, Cabbage 35 g, Carrot 25 g, Bell Pepper 25 g, Spring Onion 15 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Curry Powder 2 g, Chili Sauce 8 g, Salt 2 g"
Pan-fried noodles,crispy pan-fried noodles,1 bowl,250,"Wheat Noodles 88 g, Cabbage 35 g, Carrot 25 g, Bell Pepper 25 g, Spring Onion 15 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Corn Flour 8 g, Chili Sauce 8 g, Salt 2 g"
Burnt garlic fried rice,garlic fried rice,1 bowl,240,"Rice Cooked 165 g, Carrot 22 g, Green Beans 18 g, Bell Pepper 20 g, Spring Onion 12 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Fried Garlic 8 g, Salt 2 g"
Mushroom fried rice,mushroom rice Chinese,1 bowl,270,"Rice Cooked 165 g, Mushroom 55 g, Carrot 22 g, Green Beans 18 g, Bell Pepper 20 g, Spring Onion 12 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
Paneer fried rice,paneer Chinese fried rice,1 bowl,280,"Rice Cooked 165 g, Paneer 60 g, Carrot 22 g, Green Beans 18 g, Bell Pepper 20 g, Spring Onion 12 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
Prawn fried rice,shrimp fried rice,1 bowl,285,"Rice Cooked 165 g, Prawns 70 g, Carrot 22 g, Green Beans 18 g, Bell Pepper 20 g, Spring Onion 12 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
Triple Schezwan rice,triple Schezwan fried rice,1 bowl,320,"Rice Cooked 165 g, Wheat Noodles Cooked 65 g, Carrot 22 g, Green Beans 18 g, Bell Pepper 20 g, Spring Onion 12 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Schezwan Sauce 20 g, Salt 2 g"
Manchurian fried rice,veg Manchurian rice,1 bowl,310,"Rice Cooked 165 g, Vegetable Manchurian Balls 70 g, Carrot 22 g, Green Beans 18 g, Bell Pepper 20 g, Spring Onion 12 g, Oil 8 g, Soy Sauce 7 g, Vinegar 4 g, Garlic 4 g, Chili Sauce 10 g, Salt 2 g"
Vegetable Manchurian dry,dry veg Manchurian,1 plate,180,"Cabbage 55 g, Carrot 25 g, Refined Wheat Flour 18 g, Corn Flour 20 g, Spring Onion 22 g, Oil Absorbed 10 g, Garlic 8 g, Onion 20 g, Bell Pepper 22 g, Oil 7 g, Soy Sauce 8 g, Chili Sauce 10 g, Tomato Sauce 10 g, Vinegar 4 g, Salt 2 g"
Vegetable Manchurian gravy,veg Manchurian gravy,1 bowl,230,"Cabbage 55 g, Carrot 25 g, Refined Wheat Flour 18 g, Corn Flour 24 g, Spring Onion 22 g, Oil Absorbed 10 g, Garlic 8 g, Onion 20 g, Bell Pepper 22 g, Oil 7 g, Soy Sauce 8 g, Chili Sauce 10 g, Tomato Sauce 10 g, Vinegar 4 g, Water 70 g, Salt 2 g"
Gobi Manchurian dry,cauliflower Manchurian dry,1 plate,180,"Cauliflower 105 g, Refined Wheat Flour 22 g, Corn Flour 22 g, Oil Absorbed 11 g, Onion 20 g, Bell Pepper 22 g, Spring Onion 10 g, Oil 7 g, Soy Sauce 8 g, Chili Sauce 10 g, Tomato Sauce 10 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
Gobi Manchurian gravy,cauliflower Manchurian gravy,1 bowl,230,"Cauliflower 105 g, Refined Wheat Flour 22 g, Corn Flour 26 g, Oil Absorbed 11 g, Onion 20 g, Bell Pepper 22 g, Spring Onion 10 g, Oil 7 g, Soy Sauce 8 g, Chili Sauce 10 g, Tomato Sauce 10 g, Vinegar 4 g, Garlic 4 g, Water 70 g, Salt 2 g"
Paneer Manchurian,paneer Manchurian dry,1 plate,180,"Paneer 105 g, Corn Flour 24 g, Refined Wheat Flour 12 g, Oil Absorbed 10 g, Onion 20 g, Bell Pepper 22 g, Spring Onion 10 g, Oil 7 g, Soy Sauce 8 g, Chili Sauce 10 g, Tomato Sauce 10 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
Chicken Manchurian dry,dry chicken Manchurian,1 plate,200,"Chicken 120 g, Corn Flour 24 g, Egg 20 g, Oil Absorbed 10 g, Onion 20 g, Bell Pepper 22 g, Spring Onion 10 g, Oil 7 g, Soy Sauce 8 g, Chili Sauce 10 g, Tomato Sauce 10 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
Chicken Manchurian gravy,chicken Manchurian with gravy,1 bowl,250,"Chicken 120 g, Corn Flour 28 g, Egg 20 g, Oil Absorbed 10 g, Onion 20 g, Bell Pepper 22 g, Spring Onion 10 g, Oil 7 g, Soy Sauce 8 g, Chili Sauce 10 g, Tomato Sauce 10 g, Vinegar 4 g, Garlic 4 g, Water 70 g, Salt 2 g"
Chilli paneer dry,chili paneer dry,1 plate,180,"Paneer 105 g, Corn Flour 18 g, Refined Wheat Flour 10 g, Oil Absorbed 10 g, Onion 28 g, Bell Pepper 30 g, Spring Onion 12 g, Soy Sauce 8 g, Chili Sauce 12 g, Vinegar 4 g, Garlic 4 g, Salt 2 g"
