Food,Also,Serving,g,Composition
Onion samosa,irn samosa,1 piece,80,"Refined Wheat Flour 38 g, Water 22 g, Onion 45 g, Flattened Rice 10 g, Chili Powder 1 g, Oil Absorbed 9 g, Cumin 1 g, Salt 2 g"
Corn samosa,sweet corn samosa,1 piece,85,"Refined Wheat Flour 38 g, Water 22 g, Sweet Corn Cooked 38 g, Potato Cooked 20 g, Oil Absorbed 9 g, Cumin 1 g, Salt 2 g"
Cheese samosa,cheesy samosa,1 piece,85,"Refined Wheat Flour 38 g, Water 22 g, Processed Cheese 35 g, Potato Cooked 22 g, Oil Absorbed 9 g, Cumin 1 g, Salt 2 g"
Chicken samosa,chicken keema samosa,1 piece,90,"Refined Wheat Flour 38 g, Water 22 g, Chicken Mince Cooked 48 g, Onion 15 g, Oil Absorbed 9 g, Cumin 1 g, Salt 2 g"
Mutton samosa,mutton keema samosa,1 piece,90,"Refined Wheat Flour 38 g, Water 22 g, Mutton Mince Cooked 48 g, Onion 15 g, Oil Absorbed 9 g, Cumin 1 g, Salt 2 g"
Noodle samosa,Chinese samosa,1 piece,90,"Refined Wheat Flour 38 g, Water 22 g, Wheat Noodles Cooked 45 g, Cabbage 15 g, Carrot 12 g, Soy Sauce 4 g, Oil Absorbed 9 g, Cumin 1 g, Salt 2 g"
Pizza samosa,pizza-filled samosa,1 piece,90,"Refined Wheat Flour 38 g, Water 22 g, Mozzarella Cheese 30 g, Tomato Pizza Sauce 18 g, Bell Pepper 12 g, Onion 10 g, Oil Absorbed 9 g, Cumin 1 g, Salt 2 g"
Dry kachori,sukhi kachori,1 piece,70,"Refined Wheat Flour 38 g, Water 20 g, Moong Dal 20 g, Besan 8 g, Fennel Seeds 2 g, Chili Powder 1 g, Oil Absorbed 10 g, Salt 2 g"
Matar kachori,matar-filled kachori,1 piece,85,"Refined Wheat Flour 38 g, Water 20 g, Peas Cooked 45 g, Ginger 3 g, Cumin 1 g, Oil Absorbed 10 g, Salt 2 g"
Pyaz kachori,onion kachori,1 piece,95,"Refined Wheat Flour 38 g, Water 20 g, Onion 55 g, Besan 10 g, Fennel Seeds 2 g, Chili Powder 1 g, Oil Absorbed 10 g, Salt 2 g"
Moong dal kachori,dal kachori,1 piece,80,"Refined Wheat Flour 38 g, Water 20 g, Moong Dal 25 g, Fennel Seeds 2 g, Chili Powder 1 g, Oil Absorbed 10 g, Salt 2 g"
Aloo kachori,potato kachori,1 piece,95,"Refined Wheat Flour 38 g, Water 20 g, Potato Cooked 55 g, Cumin 1 g, Chili Powder 1 g, Oil Absorbed 10 g, Salt 2 g"
Cheese kachori,cheesy kachori,1 piece,95,"Refined Wheat Flour 38 g, Water 20 g, Processed Cheese 35 g, Potato Cooked 25 g, Chili Powder 1 g, Oil Absorbed 10 g, Salt 2 g"
Cheese pakora,cheese pakoda,1 plate,160,"Processed Cheese 85 g, Besan 45 g, Rice Flour 10 g, Water 38 g, Oil Absorbed 12 g, Chili Powder 1 g, Salt 2 g"
Corn pakora,sweet corn fritters,1 plate,160,"Sweet Corn Cooked 90 g, Onion 20 g, Besan 45 g, Rice Flour 10 g, Water 38 g, Oil Absorbed 12 g, Chili Powder 1 g, Salt 2 g"
Mushroom pakora,mushroom pakoda,1 plate,155,"Mushroom 100 g, Besan 45 g, Rice Flour 10 g, Water 38 g, Oil Absorbed 12 g, Chili Powder 1 g, Salt 2 g"
Fish pakora,fish pakoda,1 plate,180,"White Fish 120 g, Besan 45 g, Rice Flour 10 g, Water 38 g, Oil Absorbed 12 g, Chili Powder 1 g, Salt 2 g"
Prawn pakora,shrimp pakoda,1 plate,180,"Prawns 120 g, Besan 45 g, Rice Flour 10 g, Water 38 g, Oil Absorbed 12 g, Chili Powder 1 g, Salt 2 g"
Egg pakora,anda pakoda,1 plate,170,"Egg Boiled 100 g, Besan 45 g, Rice Flour 10 g, Water 38 g, Oil Absorbed 12 g, Chili Powder 1 g, Salt 2 g"
Malai soya chaap,creamy soya chaap,1 plate,195,"Soya Chaap 120 g, Yogurt 28 g, Oil 7 g, Ginger 4 g, Garlic 4 g, Tandoori Masala 3 g, Bell Pepper 20 g, Onion 20 g, Cream 18 g, Cashews 10 g, Salt 2 g"
Afghani soya chaap,Afghani chaap,1 plate,195,"Soya Chaap 120 g, Yogurt 28 g, Oil 7 g, Ginger 4 g, Garlic 4 g, Tandoori Masala 3 g, Bell Pepper 20 g, Onion 20 g, Cream 18 g, Cashews 12 g, Black Pepper 2 g, Salt 2 g"
Tandoori soya chaap,tandoori chaap,1 plate,185,"Soya Chaap 120 g, Yogurt 28 g, Oil 7 g, Ginger 4 g, Garlic 4 g, Tandoori Masala 3 g, Bell Pepper 20 g, Onion 20 g, Chili Powder 2 g, Salt 2 g"
Paneer malai tikka,malai paneer tikka,1 plate,195,"Paneer 120 g, Yogurt 28 g, Oil 7 g, Ginger 4 g, Garlic 4 g, Tandoori Masala 3 g, Bell Pepper 20 g, Onion 20 g, Cream 18 g, Cashews 10 g, Salt 2 g"
Achari paneer tikka,pickle-spiced paneer tikka,1 plate,185,"Paneer 120 g, Yogurt 28 g, Oil 7 g, Ginger 4 g, Garlic 4 g, Tandoori Masala 3 g, Bell Pepper 20 g, Onion 20 g, Pickle Masala 5 g, Salt 2 g"
Hariyali paneer tikka,green paneer tikka,1 plate,190,"Paneer 120 g, Yogurt 28 g, Oil 7 g, Ginger 4 g, Garlic 4 g, Tandoori Masala 3 g, Bell Pepper 20 g, Onion 20 g, Coriander Leaves 15 g, Mint Leaves 10 g, Green Chili 2 g, Salt 2 g"
