Food,Also,Serving,g,Composition
Aloo tikki burger,potato patty burger,1 burger,210,"Burger Bun 70 g, Potato Cooked 75 g, Peas Cooked 15 g, Breadcrumbs 12 g, Oil Absorbed 8 g, Lettuce 10 g, Tomato 18 g, Onion 12 g, Mayonnaise 12 g, Salt 2 g"
Paneer burger,paneer patty burger,1 burger,225,"Burger Bun 70 g, Paneer 80 g, Potato Cooked 30 g, Breadcrumbs 12 g, Oil Absorbed 8 g, Lettuce 10 g, Tomato 18 g, Onion 12 g, Mayonnaise 12 g, Salt 2 g"
Cheese burger,veg cheeseburger,1 burger,225,"Burger Bun 70 g, Potato Cooked 70 g, Peas Cooked 12 g, Breadcrumbs 12 g, Oil Absorbed 8 g, Lettuce 10 g, Tomato 18 g, Onion 12 g, Mayonnaise 12 g, Processed Cheese 25 g, Salt 2 g"
Chicken cheese burger,chicken cheeseburger,1 burger,235,"Burger Bun 70 g, Chicken 90 g, Breadcrumbs 12 g, Oil Absorbed 8 g, Lettuce 10 g, Tomato 18 g, Onion 12 g, Mayonnaise 12 g, Processed Cheese 25 g, Salt 2 g"
Pizza burger,vegetable pizza burger,1 burger,230,"Burger Bun 70 g, Potato Cooked 55 g, Bell Pepper 18 g, Breadcrumbs 12 g, Oil Absorbed 8 g, Lettuce 10 g, Tomato 18 g, Onion 12 g, Mayonnaise 12 g, Tomato Pizza Sauce 18 g, Mozzarella Cheese 25 g, Salt 2 g"
Double patty vegetable burger,double veg burger,1 burger,285,"Burger Bun 70 g, Potato Cooked 120 g, Peas Cooked 25 g, Breadcrumbs 12 g, Oil Absorbed 8 g, Lettuce 10 g, Tomato 18 g, Onion 12 g, Mayonnaise 12 g, Processed Cheese 20 g, Salt 2 g"
Peri peri fries,peri-peri French fries,1 plate,150,"Potato 170 g, Oil Absorbed 15 g, Peri Peri Seasoning 4 g, Salt 2 g"
Masala fries,Indian masala fries,1 plate,150,"Potato 170 g, Oil Absorbed 15 g, Chaat Masala 3 g, Chili Powder 2 g, Salt 2 g"
Cheesy fries,cheese fries,1 plate,175,"Potato 170 g, Oil Absorbed 15 g, Processed Cheese 35 g, Salt 2 g"
Loaded fries,loaded cheese fries,1 plate,220,"Potato 170 g, Oil Absorbed 15 g, Processed Cheese 28 g, Mayonnaise 15 g, Onion 18 g, Bell Pepper 18 g, Jalapeno 8 g, Salt 2 g"
Chilli cheese fries,chili cheese fries,1 plate,190,"Potato 170 g, Oil Absorbed 15 g, Processed Cheese 30 g, Chili Sauce 12 g, Spring Onion 10 g, Salt 2 g"
Cheese corn balls,corn cheese balls,6 pieces,170,"Potato Cooked 55 g, Sweet Corn Cooked 35 g, Processed Cheese 35 g, Corn Flour 15 g, Breadcrumbs 18 g, Oil Absorbed 12 g, Salt 2 g"
Paneer fingers,crispy paneer fingers,6 pieces,160,"Paneer 105 g, Corn Flour 15 g, Breadcrumbs 18 g, Oil Absorbed 12 g, Salt 2 g"
Vegetable fingers,veg fingers,6 pieces,170,"Potato Cooked 55 g, Carrot 25 g, Green Beans 20 g, Peas Cooked 20 g, Corn Flour 15 g, Breadcrumbs 18 g, Oil Absorbed 12 g, Salt 2 g"
Chicken nuggets,chicken nugget,6 pieces,160,"Chicken 110 g, Egg 18 g, Corn Flour 15 g, Breadcrumbs 18 g, Oil Absorbed 12 g, Salt 2 g"
Fish fingers,breaded fish fingers,6 pieces,170,"White Fish 120 g, Egg 18 g, Corn Flour 15 g, Breadcrumbs 18 g, Oil Absorbed 12 g, Salt 2 g"
Potato smileys,potato smiles,6 pieces,150,"Potato Cooked 120 g, Corn Flour 15 g, Breadcrumbs 18 g, Oil Absorbed 12 g, Salt 2 g"
Vegetable nuggets,veg nuggets,6 pieces,165,"Potato Cooked 55 g, Carrot 25 g, Green Beans 20 g, Peas Cooked 20 g, Corn Flour 15 g, Breadcrumbs 18 g, Oil Absorbed 12 g, Salt 2 g"
Cheese balls,fried cheese balls,6 pieces,160,"Potato Cooked 55 g, Processed Cheese 50 g, Corn Flour 15 g, Breadcrumbs 18 g, Oil Absorbed 12 g, Salt 2 g"
Mozzarella sticks,cheese sticks,6 pieces,160,"Mozzarella Cheese 105 g, Egg 18 g, Corn Flour 15 g, Breadcrumbs 18 g, Oil Absorbed 12 g, Salt 2 g"
Popcorn chicken,chicken popcorn,1 plate,170,"Chicken 120 g, Egg 18 g, Corn Flour 15 g, Breadcrumbs 18 g, Oil Absorbed 12 g, Salt 2 g"
Fried chicken,crispy fried chicken,2 pieces,220,"Chicken 200 g, Refined Wheat Flour 30 g, Corn Flour 15 g, Buttermilk 35 g, Egg 20 g, Oil Absorbed 18 g, Paprika 2 g, Black Pepper 2 g, Salt 2 g"
Vegetable tacos,veg tacos,2 tacos,180,"Corn Taco Shells 50 g, Kidney Beans Cooked 45 g, Sweet Corn Cooked 25 g, Bell Pepper 20 g, Lettuce 18 g, Tomato 20 g, Onion 15 g, Salsa 18 g, Processed Cheese 20 g, Salt 1 g"
Paneer tacos,paneer tikka tacos,2 tacos,195,"Corn Taco Shells 50 g, Paneer 65 g, Bell Pepper 20 g, Lettuce 18 g, Tomato 20 g, Onion 15 g, Salsa 18 g, Processed Cheese 20 g, Salt 1 g"
Chicken tacos,chicken tikka tacos,2 tacos,200,"Corn Taco Shells 50 g, Chicken Cooked 70 g, Bell Pepper 18 g, Lettuce 18 g, Tomato 20 g, Onion 15 g, Salsa 18 g, Processed Cheese 20 g, Salt 1 g"
Vegetable quesadilla,veg quesadilla,1 quesadilla,200,"Wheat Tortilla 70 g, Kidney Beans Cooked 40 g, Sweet Corn Cooked 25 g, Mozzarella Cheese 45 g, Bell Pepper 20 g, Onion 15 g, Tomato Salsa 18 g, Oil 5 g, Salt 1 g"
Paneer quesadilla,paneer cheese quesadilla,1 quesadilla,215,"Wheat Tortilla 70 g, Paneer 65 g, Mozzarella Cheese 45 g, Bell Pepper 20 g, Onion 15 g, Tomato Salsa 18 g, Oil 5 g, Salt 1 g"
Chicken quesadilla,chicken cheese quesadilla,1 quesadilla,220,"Wheat Tortilla 70 g, Chicken Cooked 70 g, Mozzarella Cheese 45 g, Bell Pepper 20 g, Onion 15 g, Tomato Salsa 18 g, Oil 5 g, Salt 1 g"
Pizza dosa,vegetable pizza dosa,1 dosa,230,"Rice 55 g, Urad Dal 18 g, Water 85 g, Oil 6 g, Tomato Pizza Sauce 25 g, Mozzarella Cheese 35 g, Onion 15 g, Bell Pepper 15 g, Sweet Corn Cooked 15 g, Salt 2 g"
Cheese dosa,cheese masala dosa,1 dosa,230,"Rice 55 g, Urad Dal 18 g, Water 85 g, Oil 6 g, Potato Cooked 55 g, Processed Cheese 35 g, Onion 12 g, Salt 2 g"
Paneer dosa,paneer masala dosa,1 dosa,230,"Rice 55 g, Urad Dal 18 g, Water 85 g, Oil 6 g, Paneer 65 g, Onion 15 g, Tomato 15 g, Salt 2 g"
Chinese dosa,Chinese-style vegetable dosa,1 dosa,245,"Rice 55 g, Urad Dal 18 g, Water 85 g, Oil 6 g, Wheat Noodles Cooked 70 g, Cabbage 25 g, Carrot 18 g, Schezwan Sauce 12 g, Salt 2 g"
Schezwan dosa,Schezwan masala dosa,1 dosa,230,"Rice 55 g, Urad Dal 18 g, Water 85 g, Oil 6 g, Potato Cooked 50 g, Cabbage 20 g, Schezwan Sauce 18 g, Salt 2 g"
Jini dosa,Mumbai Jini dosa,1 dosa,250,"Rice 55 g, Urad Dal 18 g, Water 85 g, Oil 6 g, Cabbage 25 g, Carrot 18 g, Bell Pepper 18 g, Tomato Sauce 15 g, Processed Cheese 35 g, Schezwan Sauce 12 g, Salt 2 g"
Spring dosa,spring roll dosa,1 dosa,245,"Rice 55 g, Urad Dal 18 g, Water 85 g, Oil 6 g, Cabbage 30 g, Carrot 20 g, Bell Pepper 20 g, Wheat Noodles Cooked 55 g, Soy Sauce 6 g, Salt 2 g"
Pav bhaji dosa,bhaji dosa,1 dosa,245,"Rice 55 g, Urad Dal 18 g, Water 85 g, Oil 6 g, Potato Cooked 45 g, Cauliflower Cooked 25 g, Peas Cooked 18 g, Tomato 25 g, Pav Bhaji Masala 3 g, Butter 6 g, Salt 2 g"
Cheese pav bhaji,cheesy pav bhaji,1 plate,390,"Pav Bread 100 g, Potato Cooked 90 g, Cauliflower Cooked 45 g, Peas Cooked 30 g, Tomato 55 g, Onion 30 g, Bell Pepper 25 g, Butter 12 g, Pav Bhaji Masala 4 g, Processed Cheese 35 g, Salt 2 g"
Paneer pav bhaji,paneer bhaji pav,1 plate,410,"Pav Bread 100 g, Potato Cooked 90 g, Cauliflower Cooked 45 g, Peas Cooked 30 g, Tomato 55 g, Onion 30 g, Bell Pepper 25 g, Butter 12 g, Pav Bhaji Masala 4 g, Paneer 55 g, Salt 2 g"
Khada pav bhaji,chunky pav bhaji,1 plate,390,"Pav Bread 100 g, Potato Cooked 90 g, Cauliflower Cooked 45 g, Peas Cooked 30 g, Tomato 55 g, Onion 30 g, Bell Pepper 25 g, Butter 12 g, Pav Bhaji Masala 4 g, Green Beans 25 g, Carrot 25 g, Salt 2 g"
Jain pav bhaji,no onion no garlic pav bhaji,1 plate,370,"Pav Bread 100 g, Raw Banana Cooked 95 g, Cauliflower Cooked 55 g, Peas Cooked 30 g, Tomato 65 g, Bell Pepper 30 g, Bottle Gourd Cooked 35 g, Butter 12 g, Pav Bhaji Masala 4 g, Salt 2 g"
Tandoori momos,tandoori momo,6 pieces,210,"Refined Wheat Flour 55 g, Water 32 g, Cabbage 35 g, Carrot 22 g, Paneer 25 g, Onion 15 g, Garlic 4 g, Soy Sauce 5 g, Salt 2 g, Yogurt 28 g, Tandoori Masala 3 g, Oil 6 g"
Fried momos,deep-fried momo,6 pieces,180,"Refined Wheat Flour 55 g, Water 32 g, Cabbage 40 g, Carrot 25 g, Paneer 20 g, Onion 15 g, Garlic 4 g, Soy Sauce 5 g, Salt 2 g, Oil Absorbed 12 g"
Cheese momos,cheesy momo,6 pieces,190,"Refined Wheat Flour 55 g, Water 32 g, Cabbage 30 g, Carrot 18 g, Processed Cheese 40 g, Onion 15 g, Garlic 4 g, Soy Sauce 5 g, Salt 2 g"
Schezwan momos,Schezwan momo,6 pieces,195,"Refined Wheat Flour 55 g, Water 32 g, Cabbage 35 g, Carrot 22 g, Paneer 20 g, Onion 15 g, Garlic 4 g, Soy Sauce 5 g, Salt 2 g, Schezwan Sauce 15 g, Oil 5 g"
Afghani momos,creamy Afghani momo,6 pieces,220,"Refined Wheat Flour 55 g, Water 32 g, Chicken Mince 60 g, Cabbage 20 g, Onion 15 g, Garlic 4 g, Soy Sauce 5 g, Salt 2 g, Yogurt 25 g, Cream 18 g, Cashews 10 g, Butter 5 g"
Kurkure momos,crispy coated momo,6 pieces,215,"Refined Wheat Flour 55 g, Water 32 g, Cabbage 35 g, Carrot 22 g, Paneer 20 g, Onion 15 g, Garlic 4 g, Soy Sauce 5 g, Salt 2 g, Cornflakes Crumbs 25 g, Corn Flour 12 g, Oil Absorbed 12 g"
Chicken momos,chicken momo,6 pieces,190,"Refined Wheat Flour 55 g, Water 32 g, Chicken Mince 75 g, Cabbage 20 g, Onion 15 g, Garlic 4 g, Soy Sauce 5 g, Salt 2 g"
