Food,Also,Serving,g,Composition
Jam cheese sandwich,cheese jam sandwich,1 sandwich,120,"White Bread 60 g, Fruit Jam 22 g, Cheddar Cheese 28 g, Butter 5 g"
Bread roll,stuffed bread roll,2 pieces,140,"White Bread 70 g, Potato Cooked 65 g, Peas Cooked 15 g, Onion 12 g, Oil Absorbed 10 g, Cumin 1 g, Chili Powder 1 g, Salt 2 g"
Bread cutlet,bread vegetable cutlet,2 pieces,140,"White Bread 55 g, Potato Cooked 55 g, Carrot 18 g, Peas Cooked 15 g, Onion 12 g, Oil Absorbed 10 g, Salt 2 g"
Bread 65,crispy bread 65,1 plate,150,"White Bread 85 g, Yogurt 20 g, Corn Flour 15 g, Chili Sauce 10 g, Garlic 4 g, Curry Leaves 2 g, Oil Absorbed 12 g, Salt 2 g"
Instant bread dosa,bread masala dosa,1 dosa,170,"White Bread 55 g, Semolina 25 g, Rice Flour 20 g, Yogurt 25 g, Water 75 g, Oil 6 g, Cumin 1 g, Salt 2 g"
Vegetable puff,"veg puff, curry puff",1 piece,100,"Refined Wheat Flour 30 g, Butter 12 g, Water 17 g, Potato Cooked 35 g, Carrot 12 g, Peas Cooked 12 g, Onion 12 g, Oil 3 g, Garam Masala 1 g, Salt 1 g"
Paneer puff,paneer pastry,1 piece,100,"Refined Wheat Flour 30 g, Butter 12 g, Water 17 g, Paneer 45 g, Onion 12 g, Bell Pepper 10 g, Oil 3 g, Chili Powder 1 g, Salt 1 g"
Egg puff,egg pastry,1 piece,110,"Refined Wheat Flour 30 g, Butter 12 g, Water 17 g, Egg Boiled 50 g, Onion 15 g, Tomato 10 g, Oil 3 g, Chili Powder 1 g, Salt 1 g"
Chicken puff,chicken pastry,1 piece,110,"Refined Wheat Flour 30 g, Butter 12 g, Water 17 g, Chicken Cooked 50 g, Onion 15 g, Tomato 10 g, Oil 3 g, Black Pepper 1 g, Salt 1 g"
Mutton puff,mutton pastry,1 piece,110,"Refined Wheat Flour 30 g, Butter 12 g, Water 17 g, Mutton Mince Cooked 50 g, Onion 15 g, Tomato 10 g, Oil 3 g, Garam Masala 1 g, Salt 1 g"
Samosa puff,samosa pastry,1 piece,100,"Refined Wheat Flour 30 g, Butter 12 g, Water 17 g, Potato Cooked 45 g, Peas Cooked 12 g, Coriander 4 g, Cumin 1 g, Oil 3 g, Salt 1 g"
Khari biscuit,puff pastry biscuit,2 pieces,35,"Refined Wheat Flour 18 g, Butter 7 g, Sugar 5 g, Water 9 g, Salt 0.5 g"
Jeera khari,cumin khari,2 pieces,35,"Refined Wheat Flour 18 g, Butter 7 g, Sugar 5 g, Cumin 1 g, Water 9 g, Salt 0.5 g"
Methi khari,fenugreek khari,2 pieces,35,"Refined Wheat Flour 18 g, Butter 7 g, Sugar 5 g, Dried Fenugreek Leaves 1 g, Water 9 g, Salt 0.5 g"
Toast rusk,tea rusk,2 rusks,30,"Refined Wheat Flour 18 g, Butter 7 g, Sugar 5 g, Full-Fat Milk 5 g, Salt 0.5 g"
Milk rusk,milk toast rusk,2 rusks,32,"Refined Wheat Flour 18 g, Butter 7 g, Sugar 5 g, Milk Powder 3 g, Full-Fat Milk 5 g, Salt 0.5 g"
Coconut biscuit,coconut cookie,3 biscuits,30,"Refined Wheat Flour 18 g, Butter 7 g, Sugar 5 g, Coconut 5 g, Salt 0.5 g"
Jeera biscuit,cumin biscuit,3 biscuits,30,"Refined Wheat Flour 18 g, Butter 7 g, Sugar 5 g, Cumin 1 g, Salt 0.5 g"
Ajwain biscuit,carom biscuit,3 biscuits,30,"Refined Wheat Flour 18 g, Butter 7 g, Sugar 5 g, Carom Seeds 1 g, Salt 0.5 g"
Butter biscuit,butter cookie,3 biscuits,32,"Refined Wheat Flour 18 g, Butter 9 g, Sugar 5 g, Salt 0.5 g"
Atta biscuit,whole wheat biscuit,3 biscuits,30,"Whole Wheat Flour 22 g, Butter 7 g, Sugar 5 g, Salt 0.5 g"
Cream biscuit,sandwich cream biscuit,3 biscuits,36,"Refined Wheat Flour 18 g, Butter 7 g, Sugar 5 g, Vanilla Cream 8 g, Salt 0.5 g"
Marie biscuit,Marie-style biscuit,4 biscuits,30,"Refined Wheat Flour 18 g, Butter 7 g, Sugar 5 g, Whole Wheat Flour 3 g, Full-Fat Milk 4 g, Salt 0.5 g"
Glucose biscuit,glucose cookie,4 biscuits,32,"Refined Wheat Flour 18 g, Butter 7 g, Sugar 5 g, Glucose Syrup 5 g, Full-Fat Milk 3 g, Salt 0.5 g"
Cream roll,bakery cream roll,1 piece,75,"Refined Wheat Flour 30 g, Butter 14 g, Water 18 g, Whipped Cream 28 g, Sugar 10 g"
Chocolate Swiss roll,chocolate roll cake,1 slice,65,"Refined Wheat Flour 18 g, Egg 22 g, Sugar 18 g, Cocoa Powder 5 g, Whipped Cream 15 g, Butter 5 g"
Vanilla Swiss roll,vanilla roll cake,1 slice,65,"Refined Wheat Flour 18 g, Egg 22 g, Sugar 18 g, Whipped Cream 15 g, Butter 5 g, Vanilla 1 g"
Fruit bun,bakery fruit bun,1 bun,75,"Refined Wheat Flour 45 g, Water 25 g, Sugar 10 g, Butter 6 g, Raisins 8 g, Candied Fruit 7 g, Yeast 1 g, Salt 1 g"
Sweet bun,bakery sweet bun,1 bun,70,"Refined Wheat Flour 45 g, Full-Fat Milk 25 g, Sugar 12 g, Butter 6 g, Yeast 1 g, Salt 1 g"
Coconut bun,coconut-stuffed bun,1 bun,90,"Refined Wheat Flour 45 g, Full-Fat Milk 25 g, Coconut 22 g, Sugar 14 g, Butter 6 g, Yeast 1 g, Cardamom 1 g, Salt 1 g"
Masala bun,spiced vegetable bun,1 bun,95,"Refined Wheat Flour 45 g, Water 25 g, Potato Cooked 35 g, Onion 12 g, Peas Cooked 10 g, Oil 4 g, Yeast 1 g, Garam Masala 1 g, Salt 1 g"
Pizza bun,pizza-stuffed bun,1 bun,100,"Refined Wheat Flour 45 g, Water 25 g, Tomato Pizza Sauce 20 g, Mozzarella Cheese 28 g, Bell Pepper 12 g, Onion 10 g, Oil 4 g, Yeast 1 g, Salt 1 g"
Eggless sponge cake,plain eggless cake,1 slice,85,"Refined Wheat Flour 28 g, Sugar 22 g, Butter 14 g, Full-Fat Milk 25 g, Yogurt 20 g, Baking Powder 2 g, Vanilla 1 g"
Vanilla cake,plain vanilla cake,1 slice,80,"Refined Wheat Flour 25 g, Sugar 22 g, Butter 14 g, Full-Fat Milk 18 g, Egg 18 g, Baking Powder 1 g, Vanilla 1 g"
Black forest cake,black forest pastry,1 slice,100,"Refined Wheat Flour 25 g, Sugar 22 g, Butter 14 g, Full-Fat Milk 18 g, Egg 18 g, Baking Powder 1 g, Cocoa Powder 6 g, Whipped Cream 20 g, Cherries 12 g"
Pineapple cake,pineapple pastry,1 slice,100,"Refined Wheat Flour 25 g, Sugar 22 g, Butter 14 g, Full-Fat Milk 18 g, Egg 18 g, Baking Powder 1 g, Whipped Cream 20 g, Pineapple 18 g"
Plum cake,fruit cake,1 slice,90,"Refined Wheat Flour 25 g, Sugar 22 g, Butter 14 g, Full-Fat Milk 18 g, Egg 18 g, Baking Powder 1 g, Raisins 10 g, Candied Fruit 8 g, Cashews 5 g, Cinnamon 1 g"
Tea cake,plain butter tea cake,1 slice,70,"Refined Wheat Flour 25 g, Sugar 22 g, Butter 14 g, Full-Fat Milk 18 g, Egg 18 g, Baking Powder 1 g, Vanilla 1 g"
Vanilla muffin,plain muffin,1 muffin,75,"Refined Wheat Flour 25 g, Sugar 22 g, Butter 14 g, Full-Fat Milk 18 g, Egg 18 g, Baking Powder 1 g, Vanilla 1 g"
Chocolate muffin,choco muffin,1 muffin,85,"Refined Wheat Flour 25 g, Sugar 22 g, Butter 14 g, Full-Fat Milk 18 g, Egg 18 g, Baking Powder 1 g, Cocoa Powder 6 g, Chocolate Chips 10 g"
Croissant,butter croissant,1 piece,70,"Refined Wheat Flour 42 g, Butter 24 g, Full-Fat Milk 18 g, Water 12 g, Sugar 5 g, Yeast 1 g, Salt 1 g"
Chicken croissant sandwich,chicken croissant,1 sandwich,150,"Croissant 70 g, Chicken Cooked 55 g, Mayonnaise 12 g, Lettuce 10 g, Tomato 15 g, Black Pepper 1 g"
Vegetable croissant sandwich,veg croissant,1 sandwich,140,"Croissant 70 g, Cucumber 20 g, Tomato 20 g, Lettuce 12 g, Cheddar Cheese 20 g, Mayonnaise 10 g"
Cheese straws,cheese twists,4 pieces,60,"Refined Wheat Flour 25 g, Cheddar Cheese 22 g, Butter 12 g, Water 8 g, Black Pepper 1 g, Salt 1 g"
Vegetable quiche,veg quiche,1 slice,130,"Refined Wheat Flour 35 g, Butter 18 g, Egg 35 g, Full-Fat Milk 25 g, Cheddar Cheese 20 g, Spinach 18 g, Mushroom 18 g, Bell Pepper 12 g, Salt 1 g"
Chicken quiche,chicken and cheese quiche,1 slice,140,"Refined Wheat Flour 35 g, Butter 18 g, Egg 35 g, Full-Fat Milk 25 g, Cheddar Cheese 20 g, Chicken Cooked 45 g, Onion 12 g, Salt 1 g"
Apple turnover,apple puff pastry,1 piece,90,"Refined Wheat Flour 35 g, Butter 17 g, Water 20 g, Apple 40 g, Sugar 12 g, Cinnamon 1 g"
Doughnut,plain donut,1 piece,65,"Refined Wheat Flour 38 g, Full-Fat Milk 18 g, Sugar 10 g, Butter 5 g, Egg 12 g, Oil Absorbed 8 g, Yeast 1 g, Salt 1 g"
Cream doughnut,cream donut,1 piece,85,"Refined Wheat Flour 38 g, Full-Fat Milk 18 g, Sugar 10 g, Butter 5 g, Egg 12 g, Oil Absorbed 8 g, Whipped Cream 22 g, Yeast 1 g, Salt 1 g"
Chocolate doughnut,chocolate donut,1 piece,80,"Refined Wheat Flour 38 g, Full-Fat Milk 18 g, Sugar 10 g, Butter 5 g, Egg 12 g, Oil Absorbed 8 g, Dark Chocolate 18 g, Yeast 1 g, Salt 1 g"
